,A,Epeak,dur,gamma,imx,imy,nllh,phi,theta,time,timeID,bkg_nllh,TS,squareID
6,0.007691452705510745,212.13203435596432,2.0479999780654907,0.09999999999999998,-0.07800000000000007,-0.44,45954.58109887531,100.05254482707689,24.07796488878152,646018382.6667,-5122048.0,46039.44034948218,13.027605352241402,2414
12,0.005244422021796009,460.57793515969075,2.0479999780654907,0.09999999999999998,-0.07800000000000007,-0.44,45926.24025448335,100.05254482707689,24.07796488878152,646018382.6667,-5122048.0,46039.44034948218,15.04660061268516,2414
13,0.0065053870873470546,460.57793515969075,1.0240000486373901,0.09999999999999998,-0.07800000000000007,-0.44,28398.5604289704,100.05254482707689,24.07796488878152,646018383.4347,2561024.0,28483.492600089594,13.033201534480707,2414
14,0.0040653859746068504,460.57793515969075,2.0479999780654907,0.6,-0.07800000000000007,-0.44,45942.507742956375,100.05254482707689,24.07796488878152,646018382.6667,-5122048.0,46039.44034948218,13.923548866995546,2414
24,0.007794867731167954,212.13203435596432,2.0479999780654907,0.09999999999999998,-0.07400000000000007,-0.44,45952.338777022924,99.54676692140386,24.045441276054564,646018382.6667,-5122048.0,46039.44034924072,13.198603882062534,2414
26,0.005046620397136518,212.13203435596432,2.0479999780654907,0.6,-0.07400000000000007,-0.44,45959.36267851722,99.54676692140386,24.045441276054564,646018382.6667,-5122048.0,46039.44034924072,12.655249560834859,2414
30,0.0052531514489252565,460.57793515969075,2.0479999780654907,0.09999999999999998,-0.07400000000000007,-0.44,45926.33572935635,99.54676692140386,24.045441276054564,646018382.6667,-5122048.0,46039.44034924072,15.040253979528984,2414
31,0.006596621789257764,460.57793515969075,1.0240000486373901,0.09999999999999998,-0.07400000000000007,-0.44,28396.092320654116,99.54676692140386,24.045441276054564,646018383.4347,2561024.0,28483.49259986047,13.221216222901337,2414
32,0.00412358843962286,460.57793515969075,2.0479999780654907,0.6,-0.07400000000000007,-0.44,45939.75657807838,99.54676692140386,24.045441276054564,646018382.6667,-5122048.0,46039.44034924072,14.119757162383834,2414
34,0.0027380554378610236,460.57793515969075,2.0479999780654907,1.1,-0.07400000000000007,-0.44,45958.2589543689,99.54676692140386,24.045441276054564,646018382.6667,-5122048.0,46039.44034924072,12.742165818401444,2414
42,0.007817973393044284,212.13203435596432,2.0479999780654907,0.09999999999999998,-0.07000000000000008,-0.44,45951.439147990284,99.03948280335513,24.014568349585666,646018382.6667,-5122048.0,46039.44034921814,13.266589707068883,2414
44,0.005049976565896077,212.13203435596432,2.0479999780654907,0.6,-0.07000000000000008,-0.44,45959.078808105034,99.03948280335513,24.014568349585666,646018382.6667,-5122048.0,46039.44034921814,12.677660755289452,2414
48,0.005290302867293564,460.57793515969075,2.0479999780654907,0.09999999999999998,-0.07000000000000008,-0.44,45923.79873372208,99.03948280335513,24.014568349585666,646018382.6667,-5122048.0,46039.44034921814,15.207998914785646,2414
49,0.006655411163811658,460.57793515969075,1.0240000486373901,0.09999999999999998,-0.07000000000000008,-0.44,28393.435907184987,99.03948280335513,24.014568349585666,646018383.4347,2561024.0,28483.492599891015,13.420632824574861,2414
50,0.004141169420195889,460.57793515969075,2.0479999780654907,0.6,-0.07000000000000008,-0.44,45938.42458498074,99.03948280335513,24.014568349585666,646018382.6667,-5122048.0,46039.44034921814,14.213779528147752,2414
52,0.0027428511811855598,460.57793515969075,2.0479999780654907,1.1,-0.07000000000000008,-0.44,45957.838765953435,99.03948280335513,24.014568349585666,646018382.6667,-5122048.0,46039.44034921814,12.775099472387888,2414
60,0.007496137008958943,212.13203435596432,2.0479999780654907,0.09999999999999998,-0.06600000000000007,-0.44,45957.95946381744,98.53076560994813,23.985355783683293,646018382.6667,-5122048.0,46039.44034947996,12.76564809655382,2414
66,0.005105415173379992,460.57793515969075,2.0479999780654907,0.09999999999999998,-0.06600000000000007,-0.44,45931.621290945164,98.53076560994813,23.985355783683293,646018382.6667,-5122048.0,46039.44034947996,14.684621788442383,2414
68,0.003974033956539489,460.57793515969075,2.0479999780654907,0.6,-0.06600000000000007,-0.44,45945.8349641297,98.53076560994813,23.985355783683293,646018382.6667,-5122048.0,46039.44034947996,13.682498700914238,2414
84,0.004875982138301508,460.57793515969075,2.0479999780654907,0.09999999999999998,-0.06200000000000007,-0.44,45941.962549267715,98.0206897955284,23.95781277803448,646018382.6667,-5122048.0,46039.44034972618,13.96265021107855,2414
86,0.0038129433895501335,460.57793515969075,2.0479999780654907,0.6,-0.06200000000000007,-0.44,45954.07703321208,98.0206897955284,23.95781277803448,646018382.6667,-5122048.0,46039.44034972618,13.066240202453038,2414
102,0.005058725162926644,460.57793515969075,2.0479999780654907,0.09999999999999998,-0.05800000000000007,-0.44,45933.92354701459,97.50933107381735,23.93194804745469,646018382.6667,-5122048.0,46039.44034970673,14.52699574531125,2414
103,0.006337574335077788,460.57793515969075,1.0240000486373901,0.09999999999999998,-0.05800000000000007,-0.44,28402.123550021573,97.50933107381735,23.93194804745469,646018383.4347,2561024.0,28483.492600186455,12.75688442880013,2414
104,0.003912216520937467,460.57793515969075,2.0479999780654907,0.6,-0.05800000000000007,-0.44,45949.342141943234,97.50933107381735,23.93194804745469,646018382.6667,-5122048.0,46039.44034970673,13.423725843706588,2414
114,0.007759400894792195,212.13203435596432,2.0479999780654907,0.09999999999999998,-0.05400000000000007,-0.44,45952.43373697895,96.99676635713435,23.90776981209214,646018382.6667,-5122048.0,46039.44034928221,13.191407226165017,2414
116,0.005006076583155052,212.13203435596432,2.0479999780654907,0.6,-0.05400000000000007,-0.44,45960.24961214596,96.99676635713435,23.90776981209214,646018382.6667,-5122048.0,46039.44034928221,12.58497017368311,2414
120,0.005234487389059945,460.57793515969075,2.0479999780654907,0.09999999999999998,-0.05400000000000007,-0.44,45926.14114994195,96.99676635713435,23.90776981209214,646018382.6667,-5122048.0,46039.44034928221,15.053185665516859,2414
121,0.006589138155958408,460.57793515969075,1.0240000486373901,0.09999999999999998,-0.05400000000000007,-0.44,28395.24748747255,96.99676635713435,23.90776981209214,646018383.4347,2561024.0,28483.49259983339,13.284962353039674,2414
122,0.004097292741520411,460.57793515969075,2.0479999780654907,0.6,-0.05400000000000007,-0.44,45940.35431400954,96.99676635713435,23.90776981209214,646018382.6667,-5122048.0,46039.44034928221,14.077360212246242,2414
124,0.002712082644302394,460.57793515969075,2.0479999780654907,1.1,-0.05400000000000007,-0.44,45959.53464328571,96.99676635713435,23.90776981209214,646018382.6667,-5122048.0,46039.44034928221,12.641653847222523,2414
138,0.004843224304384484,460.57793515969075,2.0479999780654907,0.09999999999999998,-0.05000000000000007,-0.44,45942.1141639411,96.48307369289725,23.885285788111435,646018382.6667,-5122048.0,46039.4403498373,13.951787404931284,2414
140,0.0037576471994419203,460.57793515969075,2.0479999780654907,0.6,-0.05000000000000007,-0.44,45955.54148882793,96.48307369289725,23.885285788111435,646018382.6667,-5122048.0,46039.4403498373,12.953676004082618,2414
156,0.00465163495925983,460.57793515969075,2.0479999780654907,0.09999999999999998,-0.04600000000000007,-0.44,45949.610741377255,95.96833219751694,23.864503178880383,646018382.6667,-5122048.0,46039.44035021905,13.403701641098397,2414
174,0.004905641693258044,460.57793515969075,2.0479999780654907,0.09999999999999998,-0.042000000000000065,-0.44,45939.61899640039,95.45262198781253,23.845428666683084,646018382.6667,-5122048.0,46039.440349686825,14.129497746659785,2414
176,0.003821074458254243,460.57793515969075,2.0479999780654907,0.6,-0.042000000000000065,-0.44,45952.616601276706,95.45262198781253,23.845428666683084,646018382.6667,-5122048.0,46039.440349686825,13.17753758561281,2414
186,0.007791186975102747,212.13203435596432,2.0479999780654907,0.09999999999999998,-0.08000000000000007,-0.437,45952.42604316278,100.37405816795406,23.953774171282305,646018382.6667,-5122048.0,46039.440349485354,13.191990473205845,2414
192,0.00527644015768173,460.57793515969075,2.0479999780654907,0.09999999999999998,-0.08000000000000007,-0.437,45924.679208703215,100.37405816795406,23.953774171282305,646018382.6667,-5122048.0,46039.440349485354,15.149992790898528,2414
193,0.00650873008093203,460.57793515969075,1.0240000486373901,0.09999999999999998,-0.08000000000000007,-0.437,28398.045817843027,100.37405816795406,23.953774171282305,646018383.4347,2561024.0,28483.492600082536,13.072626533295368,2414
194,0.00409120696885348,460.57793515969075,2.0479999780654907,0.6,-0.08000000000000007,-0.437,45941.24372876413,100.37405816795406,23.953774171282305,646018382.6667,-5122048.0,46039.440349485354,14.01403729988075,2414
204,0.008567315261680477,212.13203435596432,2.0479999780654907,0.09999999999999998,-0.07600000000000007,-0.437,45935.34817981426,99.86580694308438,23.92013334624959,646018382.6667,-5122048.0,46039.44034881033,14.428594456569005,2414
206,0.005515110566774284,212.13203435596432,2.0479999780654907,0.6,-0.07600000000000007,-0.437,45945.15806514477,99.86580694308438,23.92013334624959,646018382.6667,-5122048.0,46039.44034881033,13.73188141993326,2414
208,0.0031945876804399583,212.13203435596432,2.0479999780654907,1.1,-0.07600000000000007,-0.437,45959.54259315223,99.86580694308438,23.92013334624959,646018382.6667,-5122048.0,46039.44034881033,12.641024931396501,2414
210,0.0056695938364415745,460.57793515969075,2.0479999780654907,0.09999999999999998,-0.07600000000000007,-0.437,45908.04480769552,99.86580694308438,23.92013334624959,646018382.6667,-5122048.0,46039.44034881033,16.210832249752347,2414
211,0.0066850025610709395,460.57793515969075,1.0240000486373901,0.09999999999999998,-0.07600000000000007,-0.437,28394.152896207568,99.86580694308438,23.92013334624959,646018383.4347,2561024.0,28483.492599911187,13.367101683133805,2414
212,0.004465178249784228,460.57793515969075,2.0479999780654907,0.6,-0.07600000000000007,-0.437,45923.479944881234,99.86580694308438,23.92013334624959,646018382.6667,-5122048.0,46039.44034881033,15.228946380435742,2414
214,0.0029586764387315567,460.57793515969075,2.0479999780654907,1.1,-0.07600000000000007,-0.437,45946.10257773168,99.86580694308438,23.92013334624959,646018382.6667,-5122048.0,46039.44034881033,13.662925827116565,2414
222,0.007810466435529452,212.13203435596432,2.0479999780654907,0.09999999999999998,-0.07200000000000006,-0.437,45954.513302841704,99.35598272449688,23.88815209875484,646018382.6667,-5122048.0,46039.44034939501,13.032808335374577,2414
228,0.005265316396646572,460.57793515969075,2.0479999780654907,0.09999999999999998,-0.07200000000000006,-0.437,45928.103502092694,99.35598272449688,23.88815209875484,646018382.6667,-5122048.0,46039.44034939501,14.922255010708986,2414
229,0.006495829821873048,460.57793515969075,1.0240000486373901,0.09999999999999998,-0.07200000000000006,-0.437,28399.969869336463,99.35598272449688,23.88815209875484,646018383.4347,2561024.0,28483.492600072117,12.924606820762826,2414
230,0.004141464540761054,460.57793515969075,2.0479999780654907,0.6,-0.07200000000000006,-0.437,45941.47567234283,99.35598272449688,23.88815209875484,646018382.6667,-5122048.0,46039.44034939501,13.99747670490503,2414
232,0.0027595997395973896,460.57793515969075,2.0479999780654907,1.1,-0.07200000000000006,-0.437,45959.43569386557,99.35598272449688,23.88815209875484,646018382.6667,-5122048.0,46039.44034939501,12.649478687237615,2414
240,0.00810961973260311,212.13203435596432,2.0479999780654907,0.09999999999999998,-0.06800000000000007,-0.437,45947.15600288465,98.8446592937931,23.857840526851877,646018382.6667,-5122048.0,46039.440349149874,13.58560607887801,2414
242,0.005256590012205812,212.13203435596432,2.0479999780654907,0.6,-0.06800000000000007,-0.437,45954.676216483545,98.8446592937931,23.857840526851877,646018382.6667,-5122048.0,46039.440349149874,13.020302044601639,2414
246,0.005412285050020001,460.57793515969075,2.0479999780654907,0.09999999999999998,-0.06800000000000007,-0.437,45920.920760885776,98.8446592937931,23.857840526851877,646018382.6667,-5122048.0,46039.440349149874,15.396076660246809,2414
247,0.006605031634407876,460.57793515969075,1.0240000486373901,0.09999999999999998,-0.06800000000000007,-0.437,28396.49779234524,98.8446592937931,23.857840526851877,646018383.4347,2561024.0,28483.49259989825,13.19051231400903,2414
248,0.004269704287801393,460.57793515969075,2.0479999780654907,0.6,-0.06800000000000007,-0.437,45934.54660921736,98.8446592937931,23.857840526851877,646018382.6667,-5122048.0,46039.440349149874,14.48404224880023,2414
250,0.0028482021823729446,460.57793515969075,2.0479999780654907,1.1,-0.06800000000000007,-0.437,45953.770820519276,98.8446592937931,23.857840526851877,646018382.6667,-5122048.0,46039.440349149874,13.089654589071364,2414
264,0.0050485971193549644,460.57793515969075,2.0479999780654907,0.09999999999999998,-0.06400000000000007,-0.437,45936.85347545355,98.33191182207048,23.829208251121404,646018382.6667,-5122048.0,46039.44034976028,14.323887342948009,2414
266,0.003933490186584969,460.57793515969075,2.0479999780654907,0.6,-0.06400000000000007,-0.437,45950.728767013876,98.33191182207048,23.829208251121404,646018382.6667,-5122048.0,46039.44034976028,13.320028734684296,2414
276,0.0076792944527515,212.13203435596432,2.0479999780654907,0.09999999999999998,-0.06000000000000007,-0.437,45956.728442836284,97.81781681181626,23.802264403870886,646018382.6667,-5122048.0,46039.44034959431,12.86171891762745,2414
282,0.005230926183417868,460.57793515969075,2.0479999780654907,0.09999999999999998,-0.06000000000000007,-0.437,45928.75995662903,97.81781681181626,23.802264403870886,646018382.6667,-5122048.0,46039.44034959431,14.878198342896326,2414
283,0.006524065907489177,460.57793515969075,1.0240000486373901,0.09999999999999998,-0.06000000000000007,-0.437,28398.843779518233,97.81781681181626,23.802264403870886,646018383.4347,2561024.0,28483.492600139554,13.011442704121757,2414
284,0.00406783128723609,460.57793515969075,2.0479999780654907,0.6,-0.06000000000000007,-0.437,45944.360796407665,97.81781681181626,23.802264403870886,646018382.6667,-5122048.0,46039.44034959431,13.789818939104753,2414
300,0.005037226863760228,460.57793515969075,2.0479999780654907,0.09999999999999998,-0.05600000000000007,-0.437,45937.220845034346,97.30245203579601,23.77701761878784,646018382.6667,-5122048.0,46039.440349894154,14.298217011908008,2414
301,0.006328942823460429,460.57793515969075,1.0240000486373901,0.09999999999999998,-0.05600000000000007,-0.437,28404.39093833922,97.30245203579601,23.77701761878784,646018383.4347,2561024.0,28483.49260017762,12.577890271297353,2414
302,0.003902180872915384,460.57793515969075,2.0479999780654907,0.6,-0.05600000000000007,-0.437,45952.24576832156,97.30245203579601,23.77701761878784,646018382.6667,-5122048.0,46039.440349894154,13.205648910416492,2414
318,0.005103990269129878,460.57793515969075,2.0479999780654907,0.09999999999999998,-0.052000000000000074,-0.437,45934.692020111215,96.78589647303889,23.753476021073055,646018382.6667,-5122048.0,46039.44034971103,14.473999419636387,2414
319,0.006409259925586621,460.57793515969075,1.0240000486373901,0.09999999999999998,-0.052000000000000074,-0.437,28402.06281733895,96.78589647303889,23.753476021073055,646018383.4347,2561024.0,28483.492600097743,12.76164431088677,2414
320,0.003983849386502838,460.57793515969075,2.0479999780654907,0.6,-0.052000000000000074,-0.437,45948.67458273383,96.78589647303889,23.753476021073055,646018382.6667,-5122048.0,46039.44034971103,13.473363869294229,2414
336,0.004997387666629921,460.57793515969075,2.0479999780654907,0.09999999999999998,-0.04800000000000007,-0.437,45938.809486118764,96.26823024203397,23.731647218079168,646018382.6667,-5122048.0,46039.44035003105,14.18667430459212,2414
338,0.0038528533071942976,460.57793515969075,2.0479999780654907,0.6,-0.04800000000000007,-0.437,45954.568324021886,96.26823024203397,23.731647218079168,646018382.6667,-5122048.0,46039.44035003105,13.028585956209138,2414
354,0.004998442020750405,460.57793515969075,2.0479999780654907,0.09999999999999998,-0.04400000000000007,-0.437,45938.38115118104,95.74953453126325,23.711538290479197,646018382.6667,-5122048.0,46039.44034972393,14.216834988343289,2414
356,0.00391454489904827,460.57793515969075,2.0479999780654907,0.6,-0.04400000000000007,-0.437,45951.16649308176,95.74953453126325,23.711538290479197,646018382.6667,-5122048.0,46039.44034972393,13.287125847388953,2414
366,0.007969508365501319,212.13203435596432,2.0479999780654907,0.09999999999999998,-0.07800000000000007,-0.434,45944.35681484854,100.18862800845349,23.795249370557016,646018382.6667,-5122048.0,46039.44034907078,13.7901076299088,2414
368,0.005081113366212446,212.13203435596432,2.0479999780654907,0.6,-0.07800000000000007,-0.434,45954.93951165086,100.18862800845349,23.795249370557016,646018382.6667,-5122048.0,46039.44034907078,13.000064416757091,2414
372,0.005348877491376798,460.57793515969075,2.0479999780654907,0.09999999999999998,-0.07800000000000007,-0.434,45917.2923849364,100.18862800845349,23.795249370557016,646018382.6667,-5122048.0,46039.44034907078,15.629968914516484,2414
373,0.006332629525736918,460.57793515969075,1.0240000486373901,0.09999999999999998,-0.07800000000000007,-0.434,28400.594513911085,100.18862800845349,23.795249370557016,646018383.4347,2561024.0,28483.492600006564,12.876186244030475,2414
374,0.004158395715543049,460.57793515969075,2.0479999780654907,0.6,-0.07800000000000007,-0.434,45933.7892889355,100.18862800845349,23.795249370557016,646018382.6667,-5122048.0,46039.44034907078,14.536234734984049,2414
376,0.0027105466448561094,460.57793515969075,2.0479999780654907,1.1,-0.07800000000000007,-0.434,45956.92834740122,100.18862800845349,23.795249370557016,646018382.6667,-5122048.0,46039.44034907078,12.84616687339521,2414
384,0.007651093835953672,212.13203435596432,2.0479999780654907,0.09999999999999998,-0.07400000000000007,-0.434,45953.18193369873,99.67627109977228,23.76214467811393,646018382.6667,-5122048.0,46039.440349282835,13.134566272557553,2414
390,0.005165094977110233,460.57793515969075,2.0479999780654907,0.09999999999999998,-0.07400000000000007,-0.434,45927.22405714163,99.67627109977228,23.76214467811393,646018382.6667,-5122048.0,46039.440349282835,14.981074203220665,2414
391,0.006284289755904536,460.57793515969075,1.0240000486373901,0.09999999999999998,-0.07400000000000007,-0.434,28401.984587493967,99.67627109977228,23.76214467811393,646018383.4347,2561024.0,28483.49260013046,12.76777291750538,2414
392,0.004033675321200005,460.57793515969075,2.0479999780654907,0.6,-0.07400000000000007,-0.434,45941.52415948227,99.67627109977228,23.76214467811393,646018382.6667,-5122048.0,46039.440349282835,13.994012276724805,2414
408,0.004706683894820948,460.57793515969075,2.0479999780654907,0.09999999999999998,-0.07000000000000008,-0.434,45946.832521995995,99.16234704572173,23.73071883162728,646018382.6667,-5122048.0,46039.440349944365,13.609395868176511,2414
410,0.003643822973292484,460.57793515969075,2.0479999780654907,0.6,-0.07000000000000008,-0.434,45959.88847149897,99.16234704572173,23.73071883162728,646018382.6667,-5122048.0,46039.440349944365,12.613633770281753,2414
426,0.005005453569066968,460.57793515969075,2.0479999780654907,0.09999999999999998,-0.06600000000000007,-0.434,45934.521198021204,98.64693170795309,23.700981882895807,646018382.6667,-5122048.0,46039.44034956755,14.485796598485447,2414
428,0.003886358023921852,460.57793515969075,2.0479999780654907,0.6,-0.06600000000000007,-0.434,45948.918477848776,98.64693170795309,23.700981882895807,646018382.6667,-5122048.0,46039.44034956755,13.455249660914843,2414
438,0.007509166829757243,212.13203435596432,2.0479999780654907,0.09999999999999998,-0.06200000000000007,-0.434,45957.45815525413,98.130102354156,23.672943392302237,646018382.6667,-5122048.0,46039.44034944319,12.804857999139411,2414
