Energy CoherentScatter IncoherScatter PhotoelAbsorb TotwCoh TotwoCoh
1.000E-03 3.468E-01 5.033E-02 6.817E+00 7.214E+00 6.867E+00 
1.500E-03 2.978E-01 9.858E-02 1.752E+00 2.148E+00 1.850E+00 
2.000E-03 2.474E-01 1.481E-01 6.638E-01 1.059E+00 8.118E-01 
3.000E-03 1.651E-01 2.284E-01 1.677E-01 5.611E-01 3.960E-01 
4.000E-03 1.124E-01 2.793E-01 6.291E-02 4.546E-01 3.422E-01 
5.000E-03 8.012E-02 3.099E-01 2.932E-02 4.193E-01 3.392E-01 
6.000E-03 5.968E-02 3.288E-01 1.570E-02 4.042E-01 3.445E-01 
8.000E-03 3.660E-02 3.489E-01 5.865E-03 3.914E-01 3.548E-01 
1.000E-02 2.462E-02 3.581E-01 2.723E-03 3.854E-01 3.608E-01 
1.500E-02 1.161E-02 3.642E-01 6.739E-04 3.764E-01 3.648E-01 
2.000E-02 6.686E-03 3.625E-01 2.499E-04 3.695E-01 3.628E-01 
3.000E-02 3.024E-03 3.539E-01 6.166E-05 3.570E-01 3.540E-01 
4.000E-02 1.712E-03 3.441E-01 2.284E-05 3.458E-01 3.441E-01 
5.000E-02 1.099E-03 3.344E-01 1.058E-05 3.355E-01 3.344E-01 
6.000E-02 7.648E-04 3.253E-01 5.649E-06 3.260E-01 3.253E-01 
8.000E-02 4.308E-04 3.087E-01 2.105E-06 3.091E-01 3.087E-01 
1.000E-01 2.760E-04 2.941E-01 9.822E-07 2.944E-01 2.941E-01 
1.500E-01 1.228E-04 2.650E-01 2.495E-07 2.651E-01 2.650E-01 
2.000E-01 6.907E-05 2.428E-01 9.625E-08 2.429E-01 2.428E-01 
3.000E-01 3.070E-05 2.112E-01 2.637E-08 2.112E-01 2.112E-01 
4.000E-01 1.727E-05 1.893E-01 1.110E-08 1.893E-01 1.893E-01 
5.000E-01 1.105E-05 1.728E-01 5.931E-09 1.729E-01 1.728E-01 
6.000E-01 7.677E-06 1.599E-01 3.679E-09 1.599E-01 1.599E-01 
8.000E-01 4.318E-06 1.405E-01 1.863E-09 1.405E-01 1.405E-01 
1.000E+00 2.763E-06 1.263E-01 1.172E-09 1.263E-01 1.263E-01 
1.022E+00 2.646E-06 1.250E-01 1.123E-09 1.250E-01 1.250E-01 
1.250E+00 1.769E-06 1.129E-01 7.791E-10 1.129E-01 1.129E-01 
1.500E+00 1.228E-06 1.026E-01 5.815E-10 1.027E-01 1.027E-01 
2.000E+00 6.907E-07 8.759E-02 3.705E-10 8.769E-02 8.769E-02 
2.044E+00 6.614E-07 8.651E-02 3.587E-10 8.663E-02 8.663E-02 
3.000E+00 3.070E-07 6.889E-02 2.105E-10 6.921E-02 6.921E-02 
4.000E+00 1.727E-07 5.748E-02 1.460E-10 5.807E-02 5.807E-02 
5.000E+00 1.105E-07 4.964E-02 1.115E-10 5.049E-02 5.049E-02 
6.000E+00 7.677E-08 4.387E-02 9.010E-11 4.498E-02 4.498E-02 
7.000E+00 5.640E-08 3.943E-02 7.552E-11 4.078E-02 4.078E-02 
8.000E+00 4.318E-08 3.589E-02 6.500E-11 3.746E-02 3.746E-02 
9.000E+00 3.412E-08 3.299E-02 5.703E-11 3.478E-02 3.478E-02 
1.000E+01 2.763E-08 3.057E-02 5.080E-11 3.254E-02 3.254E-02 
1.100E+01 2.284E-08 2.851E-02 4.580E-11 3.067E-02 3.067E-02 
1.200E+01 1.919E-08 2.674E-02 4.169E-11 2.906E-02 2.906E-02 
1.300E+01 1.635E-08 2.519E-02 3.824E-11 2.767E-02 2.767E-02 
1.400E+01 1.410E-08 2.383E-02 3.533E-11 2.646E-02 2.646E-02 
1.500E+01 1.228E-08 2.262E-02 3.283E-11 2.539E-02 2.539E-02 
1.600E+01 1.080E-08 2.154E-02 3.066E-11 2.445E-02 2.445E-02 
1.800E+01 8.532E-09 1.969E-02 2.707E-11 2.284E-02 2.284E-02 
2.000E+01 6.907E-09 1.816E-02 2.424E-11 2.153E-02 2.153E-02 
2.200E+01 5.709E-09 1.687E-02 2.194E-11 2.045E-02 2.045E-02 
2.400E+01 4.798E-09 1.576E-02 2.004E-11 1.953E-02 1.953E-02 
2.600E+01 4.088E-09 1.480E-02 1.844E-11 1.875E-02 1.875E-02 
2.800E+01 3.524E-09 1.396E-02 1.708E-11 1.807E-02 1.807E-02 
3.000E+01 3.070E-09 1.322E-02 1.590E-11 1.748E-02 1.748E-02 
4.000E+01 1.727E-09 1.050E-02 1.184E-11 1.542E-02 1.542E-02 
5.000E+01 1.105E-09 8.771E-03 9.422E-12 1.419E-02 1.419E-02 
6.000E+01 7.672E-10 7.552E-03 7.827E-12 1.339E-02 1.339E-02 
8.000E+01 4.315E-10 5.958E-03 5.847E-12 1.245E-02 1.245E-02 
1.000E+02 2.760E-10 4.945E-03 4.667E-12 1.194E-02 1.194E-02 
