Energy CoherentScatter IncoherScatter PhotoelAbsorb TotwCoh TotwoCoh
1.000E-03 7.833E+00 4.981E-03 7.029E+03 7.037E+03 7.029E+03 
1.500E-03 7.453E+00 9.167E-03 2.783E+03 2.791E+03 2.783E+03 
2.000E-03 7.018E+00 1.345E-02 1.393E+03 1.401E+03 1.393E+03 
3.000E-03 6.113E+00 2.173E-02 5.075E+02 5.136E+02 5.075E+02 
3.351E-03 5.812E+00 2.446E-02 3.829E+02 3.887E+02 3.829E+02 
3.351E-03 5.812E+00 2.446E-02 1.268E+03 1.274E+03 1.268E+03 
3.436E-03 5.740E+00 2.511E-02 1.192E+03 1.198E+03 1.192E+03 
3.524E-03 5.667E+00 2.577E-02 1.120E+03 1.126E+03 1.120E+03 
3.524E-03 5.667E+00 2.577E-02 1.541E+03 1.547E+03 1.541E+03 
3.662E-03 5.553E+00 2.681E-02 1.402E+03 1.408E+03 1.402E+03 
3.806E-03 5.437E+00 2.788E-02 1.276E+03 1.282E+03 1.276E+03 
3.806E-03 5.437E+00 2.788E-02 1.462E+03 1.468E+03 1.462E+03 
4.000E-03 5.285E+00 2.930E-02 1.300E+03 1.305E+03 1.300E+03 
5.000E-03 4.577E+00 3.622E-02 7.341E+02 7.388E+02 7.342E+02 
6.000E-03 3.996E+00 4.267E-02 4.570E+02 4.611E+02 4.571E+02 
8.000E-03 3.142E+00 5.424E-02 2.132E+02 2.164E+02 2.133E+02 
1.000E-02 2.563E+00 6.387E-02 1.166E+02 1.193E+02 1.167E+02 
1.500E-02 1.678E+00 8.101E-02 3.822E+01 3.998E+01 3.830E+01 
2.000E-02 1.165E+00 9.217E-02 1.710E+01 1.836E+01 1.719E+01 
2.551E-02 8.268E-01 1.007E-01 8.598E+00 9.525E+00 8.698E+00 
2.551E-02 8.268E-01 1.007E-01 5.447E+01 5.539E+01 5.457E+01 
3.000E-02 6.543E-01 1.056E-01 3.592E+01 3.668E+01 3.603E+01 
4.000E-02 4.275E-01 1.126E-01 1.665E+01 1.719E+01 1.677E+01 
5.000E-02 3.017E-01 1.162E-01 9.027E+00 9.445E+00 9.144E+00 
6.000E-02 2.234E-01 1.179E-01 5.425E+00 5.766E+00 5.543E+00 
8.000E-02 1.364E-01 1.180E-01 2.396E+00 2.651E+00 2.514E+00 
1.000E-01 9.234E-02 1.160E-01 1.261E+00 1.470E+00 1.377E+00 
1.500E-01 4.481E-02 1.089E-01 3.889E-01 5.426E-01 4.978E-01 
2.000E-01 2.638E-02 1.019E-01 1.689E-01 2.972E-01 2.708E-01 
3.000E-01 1.224E-02 9.039E-02 5.339E-02 1.560E-01 1.438E-01 
4.000E-01 7.034E-03 8.168E-02 2.439E-02 1.131E-01 1.061E-01 
5.000E-01 4.558E-03 7.498E-02 1.367E-02 9.321E-02 8.865E-02 
6.000E-01 3.191E-03 6.962E-02 8.720E-03 8.153E-02 7.834E-02 
8.000E-01 1.811E-03 6.136E-02 4.499E-03 6.767E-02 6.585E-02 
1.000E+00 1.164E-03 5.524E-02 2.807E-03 5.921E-02 5.804E-02 
1.022E+00 1.115E-03 5.466E-02 2.671E-03 5.844E-02 5.733E-02 
1.250E+00 7.475E-04 4.945E-02 1.802E-03 5.216E-02 5.141E-02 
1.500E+00 5.199E-04 4.498E-02 1.292E-03 4.754E-02 4.702E-02 
2.000E+00 2.929E-04 3.841E-02 7.877E-04 4.209E-02 4.180E-02 
2.044E+00 2.805E-04 3.794E-02 7.598E-04 4.176E-02 4.148E-02 
3.000E+00 1.304E-04 3.024E-02 4.194E-04 3.754E-02 3.741E-02 
4.000E+00 7.336E-05 2.523E-02 2.786E-04 3.606E-02 3.599E-02 
5.000E+00 4.696E-05 2.179E-02 2.065E-04 3.577E-02 3.573E-02 
6.000E+00 3.262E-05 1.926E-02 1.632E-04 3.601E-02 3.598E-02 
7.000E+00 2.397E-05 1.731E-02 1.346E-04 3.654E-02 3.652E-02 
8.000E+00 1.835E-05 1.575E-02 1.143E-04 3.723E-02 3.721E-02 
9.000E+00 1.450E-05 1.449E-02 9.926E-05 3.801E-02 3.800E-02 
1.000E+01 1.175E-05 1.342E-02 8.765E-05 3.883E-02 3.881E-02 
1.100E+01 9.709E-06 1.252E-02 7.844E-05 3.965E-02 3.964E-02 
1.200E+01 8.157E-06 1.174E-02 7.096E-05 4.047E-02 4.046E-02 
1.300E+01 6.951E-06 1.106E-02 6.476E-05 4.127E-02 4.126E-02 
1.400E+01 5.990E-06 1.046E-02 5.951E-05 4.204E-02 4.203E-02 
1.500E+01 5.220E-06 9.932E-03 5.510E-05 4.276E-02 4.276E-02 
