Energy CoherentScatter IncoherScatter PhotoelAbsorb TotwCoh TotwoCoh
1.000E-03 2.256E+00 1.427E-02 1.183E+03 1.185E+03 1.183E+03 
1.500E-03 2.040E+00 2.477E-02 4.002E+02 4.023E+02 4.002E+02 
1.560E-03 2.015E+00 2.594E-02 3.600E+02 3.621E+02 3.600E+02 
1.560E-03 2.015E+00 2.594E-02 3.955E+03 3.957E+03 3.955E+03 
2.000E-03 1.838E+00 3.375E-02 2.261E+03 2.263E+03 2.261E+03 
3.000E-03 1.523E+00 4.732E-02 7.865E+02 7.881E+02 7.866E+02 
4.000E-03 1.295E+00 5.810E-02 3.591E+02 3.605E+02 3.592E+02 
5.000E-03 1.116E+00 6.787E-02 1.922E+02 1.934E+02 1.923E+02 
6.000E-03 9.638E-01 7.696E-02 1.143E+02 1.153E+02 1.143E+02 
8.000E-03 7.229E-01 9.292E-02 4.950E+01 5.032E+01 4.960E+01 
1.000E-02 5.513E-01 1.058E-01 2.556E+01 2.621E+01 2.566E+01 
1.500E-02 3.136E-01 1.265E-01 7.515E+00 7.955E+00 7.641E+00 
2.000E-02 2.046E-01 1.371E-01 3.100E+00 3.442E+00 3.237E+00 
3.000E-02 1.095E-01 1.464E-01 8.722E-01 1.128E+00 1.019E+00 
4.000E-02 6.859E-02 1.494E-01 3.504E-01 5.684E-01 4.998E-01 
5.000E-02 4.678E-02 1.496E-01 1.718E-01 3.681E-01 3.214E-01 
6.000E-02 3.386E-02 1.483E-01 9.564E-02 2.778E-01 2.440E-01 
8.000E-02 2.005E-02 1.439E-01 3.783E-02 2.018E-01 1.817E-01 
1.000E-01 1.324E-02 1.388E-01 1.840E-02 1.704E-01 1.572E-01 
1.500E-01 6.122E-03 1.267E-01 4.993E-03 1.378E-01 1.317E-01 
2.000E-01 3.504E-03 1.168E-01 2.002E-03 1.223E-01 1.188E-01 
3.000E-01 1.580E-03 1.021E-01 5.743E-04 1.042E-01 1.026E-01 
4.000E-01 8.934E-04 9.162E-02 2.480E-04 9.276E-02 9.187E-02 
5.000E-01 5.732E-04 8.374E-02 1.344E-04 8.445E-02 8.388E-02 
6.000E-01 3.986E-04 7.754E-02 8.401E-05 7.802E-02 7.762E-02 
8.000E-01 2.245E-04 6.814E-02 4.252E-05 6.841E-02 6.818E-02 
1.000E+00 1.438E-04 6.129E-02 2.643E-05 6.146E-02 6.132E-02 
1.022E+00 1.377E-04 6.064E-02 2.489E-05 6.080E-02 6.067E-02 
1.250E+00 9.207E-05 5.482E-02 1.688E-05 5.496E-02 5.486E-02 
1.500E+00 6.395E-05 4.982E-02 1.222E-05 5.006E-02 5.000E-02 
2.000E+00 3.598E-05 4.252E-02 7.633E-06 4.324E-02 4.320E-02 
2.044E+00 3.444E-05 4.201E-02 7.381E-06 4.277E-02 4.274E-02 
3.000E+00 1.599E-05 3.346E-02 4.223E-06 3.541E-02 3.539E-02 
4.000E+00 8.997E-06 2.790E-02 2.881E-06 3.106E-02 3.105E-02 
5.000E+00 5.758E-06 2.411E-02 2.175E-06 2.836E-02 2.836E-02 
6.000E+00 4.000E-06 2.130E-02 1.744E-06 2.655E-02 2.655E-02 
7.000E+00 2.937E-06 1.915E-02 1.453E-06 2.529E-02 2.528E-02 
8.000E+00 2.250E-06 1.743E-02 1.245E-06 2.437E-02 2.437E-02 
9.000E+00 1.777E-06 1.602E-02 1.088E-06 2.369E-02 2.369E-02 
1.000E+01 1.440E-06 1.484E-02 9.664E-07 2.318E-02 2.318E-02 
1.100E+01 1.190E-06 1.384E-02 8.691E-07 2.279E-02 2.279E-02 
1.200E+01 9.997E-07 1.298E-02 7.894E-07 2.249E-02 2.249E-02 
1.300E+01 8.519E-07 1.223E-02 7.229E-07 2.226E-02 2.225E-02 
1.400E+01 7.345E-07 1.157E-02 6.669E-07 2.208E-02 2.208E-02 
1.500E+01 6.399E-07 1.099E-02 6.187E-07 2.195E-02 2.195E-02 
1.600E+01 5.625E-07 1.046E-02 5.772E-07 2.185E-02 2.184E-02 
1.800E+01 4.444E-07 9.562E-03 5.087E-07 2.173E-02 2.173E-02 
2.000E+01 3.600E-07 8.818E-03 4.546E-07 2.168E-02 2.168E-02 
2.200E+01 2.975E-07 8.189E-03 4.109E-07 2.168E-02 2.168E-02 
2.400E+01 2.500E-07 7.653E-03 3.750E-07 2.172E-02 2.172E-02 
2.600E+01 2.130E-07 7.187E-03 3.446E-07 2.179E-02 2.179E-02 
2.800E+01 1.836E-07 6.778E-03 3.189E-07 2.187E-02 2.187E-02 
3.000E+01 1.600E-07 6.419E-03 2.968E-07 2.196E-02 2.196E-02 
4.000E+01 8.997E-08 5.100E-03 2.203E-07 2.251E-02 2.251E-02 
5.000E+01 5.758E-08 4.259E-03 1.751E-07 2.306E-02 2.306E-02 
6.000E+01 4.000E-08 3.669E-03 1.453E-07 2.358E-02 2.358E-02 
8.000E+01 2.250E-08 2.893E-03 1.084E-07 2.447E-02 2.447E-02 
1.000E+02 1.439E-08 2.402E-03 8.644E-08 2.517E-02 2.517E-02 
