Energy CoherentScatter IncoherScatter PhotoelAbsorb TotwCoh TotwoCoh
1.000E-03 1.079E+00 1.263E-02 2.210E+03 2.211E+03 2.210E+03 
1.500E-03 9.586E-01 2.507E-02 6.994E+02 7.004E+02 6.995E+02 
2.000E-03 8.318E-01 3.862E-02 3.017E+02 3.026E+02 3.017E+02 
3.000E-03 6.127E-01 6.408E-02 8.965E+01 9.032E+01 8.971E+01 
4.000E-03 4.602E-01 8.448E-02 3.724E+01 3.778E+01 3.732E+01 
5.000E-03 3.595E-01 9.947E-02 1.866E+01 1.912E+01 1.876E+01 
6.000E-03 2.918E-01 1.104E-01 1.054E+01 1.095E+01 1.065E+01 
8.000E-03 2.096E-01 1.252E-01 4.241E+00 4.576E+00 4.366E+00 
1.000E-02 1.620E-01 1.352E-01 2.076E+00 2.373E+00 2.211E+00 
1.500E-02 9.787E-02 1.510E-01 5.585E-01 8.074E-01 7.096E-01 
2.000E-02 6.478E-02 1.595E-01 2.177E-01 4.420E-01 3.772E-01 
3.000E-02 3.365E-02 1.655E-01 5.706E-02 2.562E-01 2.225E-01 
4.000E-02 2.045E-02 1.653E-01 2.193E-02 2.076E-01 1.872E-01 
5.000E-02 1.371E-02 1.630E-01 1.042E-02 1.871E-01 1.734E-01 
6.000E-02 9.807E-03 1.598E-01 5.671E-03 1.753E-01 1.655E-01 
8.000E-02 5.711E-03 1.531E-01 2.169E-03 1.610E-01 1.553E-01 
1.000E-01 3.719E-03 1.466E-01 1.031E-03 1.514E-01 1.476E-01 
1.500E-01 1.685E-03 1.327E-01 2.706E-04 1.347E-01 1.330E-01 
2.000E-01 9.541E-04 1.219E-01 1.063E-04 1.229E-01 1.220E-01 
3.000E-01 4.264E-04 1.062E-01 2.980E-05 1.066E-01 1.062E-01 
4.000E-01 2.403E-04 9.521E-02 1.272E-05 9.547E-02 9.523E-02 
5.000E-01 1.539E-04 8.699E-02 6.839E-06 8.715E-02 8.700E-02 
6.000E-01 1.069E-04 8.047E-02 4.253E-06 8.058E-02 8.048E-02 
8.000E-01 6.017E-05 7.070E-02 2.144E-06 7.076E-02 7.070E-02 
1.000E+00 3.852E-05 6.358E-02 1.333E-06 6.362E-02 6.358E-02 
1.022E+00 3.688E-05 6.292E-02 1.229E-06 6.296E-02 6.293E-02 
1.250E+00 2.465E-05 5.686E-02 8.348E-07 5.690E-02 5.687E-02 
1.500E+00 1.712E-05 5.169E-02 6.062E-07 5.179E-02 5.177E-02 
2.000E+00 9.632E-06 4.410E-02 3.826E-07 4.443E-02 4.442E-02 
2.044E+00 9.220E-06 4.356E-02 3.702E-07 4.391E-02 4.390E-02 
3.000E+00 4.281E-06 3.470E-02 2.147E-07 3.563E-02 3.562E-02 
4.000E+00 2.408E-06 2.894E-02 1.478E-07 3.047E-02 3.047E-02 
5.000E+00 1.541E-06 2.499E-02 1.123E-07 2.708E-02 2.708E-02 
6.000E+00 1.070E-06 2.209E-02 9.035E-08 2.469E-02 2.469E-02 
7.000E+00 7.862E-07 1.985E-02 7.556E-08 2.291E-02 2.291E-02 
8.000E+00 6.022E-07 1.807E-02 6.488E-08 2.154E-02 2.154E-02 
9.000E+00 4.757E-07 1.661E-02 5.686E-08 2.047E-02 2.047E-02 
1.000E+01 3.853E-07 1.539E-02 5.059E-08 1.959E-02 1.959E-02 
1.100E+01 3.185E-07 1.435E-02 4.553E-08 1.888E-02 1.888E-02 
1.200E+01 2.676E-07 1.346E-02 4.140E-08 1.828E-02 1.828E-02 
1.300E+01 2.280E-07 1.268E-02 3.796E-08 1.778E-02 1.778E-02 
1.400E+01 1.966E-07 1.200E-02 3.504E-08 1.735E-02 1.735E-02 
1.500E+01 1.713E-07 1.139E-02 3.254E-08 1.698E-02 1.698E-02 
1.600E+01 1.505E-07 1.084E-02 3.037E-08 1.667E-02 1.667E-02 
1.800E+01 1.189E-07 9.912E-03 2.680E-08 1.615E-02 1.615E-02 
2.000E+01 9.632E-08 9.140E-03 2.398E-08 1.575E-02 1.575E-02 
2.200E+01 7.962E-08 8.493E-03 2.169E-08 1.545E-02 1.545E-02 
2.400E+01 6.688E-08 7.937E-03 1.980E-08 1.520E-02 1.520E-02 
2.600E+01 5.701E-08 7.451E-03 1.822E-08 1.500E-02 1.500E-02 
2.800E+01 4.915E-08 7.029E-03 1.686E-08 1.485E-02 1.485E-02 
3.000E+01 4.281E-08 6.653E-03 1.570E-08 1.472E-02 1.472E-02 
4.000E+01 2.408E-08 5.290E-03 1.167E-08 1.437E-02 1.437E-02 
5.000E+01 1.541E-08 4.415E-03 9.281E-09 1.426E-02 1.426E-02 
6.000E+01 1.070E-08 3.804E-03 7.706E-09 1.426E-02 1.426E-02 
8.000E+01 6.022E-09 3.000E-03 5.756E-09 1.439E-02 1.439E-02 
1.000E+02 3.853E-09 2.490E-03 4.591E-09 1.457E-02 1.457E-02 
