Energy CoherentScatter IncoherScatter PhotoelAbsorb TotwCoh TotwoCoh
1.000E-03 7.827E+00 5.379E-03 7.345E+03 7.353E+03 7.345E+03 
1.500E-03 7.436E+00 9.686E-03 2.923E+03 2.931E+03 2.923E+03 
2.000E-03 6.997E+00 1.385E-02 1.466E+03 1.473E+03 1.466E+03 
3.000E-03 6.107E+00 2.166E-02 5.352E+02 5.413E+02 5.352E+02 
3.537E-03 5.657E+00 2.563E-02 3.519E+02 3.575E+02 3.519E+02 
3.537E-03 5.657E+00 2.563E-02 1.146E+03 1.152E+03 1.146E+03 
3.631E-03 5.583E+00 2.630E-02 1.075E+03 1.081E+03 1.075E+03 
3.727E-03 5.507E+00 2.698E-02 1.008E+03 1.013E+03 1.008E+03 
3.727E-03 5.507E+00 2.698E-02 1.384E+03 1.389E+03 1.384E+03 
4.000E-03 5.293E+00 2.890E-02 1.164E+03 1.169E+03 1.164E+03 
4.018E-03 5.279E+00 2.903E-02 1.151E+03 1.157E+03 1.151E+03 
4.018E-03 5.279E+00 2.903E-02 1.321E+03 1.326E+03 1.321E+03 
5.000E-03 4.595E+00 3.555E-02 7.639E+02 7.686E+02 7.640E+02 
6.000E-03 4.015E+00 4.170E-02 4.752E+02 4.793E+02 4.753E+02 
8.000E-03 3.154E+00 5.276E-02 2.222E+02 2.254E+02 2.222E+02 
1.000E-02 2.569E+00 6.214E-02 1.218E+02 1.244E+02 1.218E+02 
1.500E-02 1.687E+00 7.902E-02 4.001E+01 4.178E+01 4.009E+01 
2.000E-02 1.176E+00 8.995E-02 1.794E+01 1.920E+01 1.803E+01 
2.671E-02 7.822E-01 9.970E-02 7.929E+00 8.811E+00 8.028E+00 
2.671E-02 7.822E-01 9.970E-02 4.976E+01 5.065E+01 4.986E+01 
3.000E-02 6.611E-01 1.031E-01 3.688E+01 3.765E+01 3.699E+01 
4.000E-02 4.318E-01 1.099E-01 1.723E+01 1.778E+01 1.734E+01 
5.000E-02 3.052E-01 1.135E-01 9.359E+00 9.778E+00 9.473E+00 
6.000E-02 2.263E-01 1.152E-01 5.636E+00 5.977E+00 5.751E+00 
8.000E-02 1.383E-01 1.153E-01 2.498E+00 2.751E+00 2.613E+00 
1.000E-01 9.364E-02 1.135E-01 1.317E+00 1.524E+00 1.430E+00 
1.500E-01 4.545E-02 1.066E-01 4.073E-01 5.593E-01 5.139E-01 
2.000E-01 2.678E-02 9.975E-02 1.773E-01 3.039E-01 2.771E-01 
3.000E-01 1.244E-02 8.850E-02 5.614E-02 1.571E-01 1.446E-01 
4.000E-01 7.152E-03 8.004E-02 2.569E-02 1.129E-01 1.057E-01 
5.000E-01 4.634E-03 7.345E-02 1.442E-02 9.250E-02 8.786E-02 
6.000E-01 3.244E-03 6.820E-02 9.204E-03 8.065E-02 7.740E-02 
8.000E-01 1.841E-03 6.011E-02 4.752E-03 6.670E-02 6.486E-02 
1.000E+00 1.184E-03 5.411E-02 2.965E-03 5.826E-02 5.707E-02 
1.022E+00 1.134E-03 5.356E-02 2.822E-03 5.751E-02 5.638E-02 
1.250E+00 7.602E-04 4.846E-02 1.903E-03 5.128E-02 5.052E-02 
1.500E+00 5.289E-04 4.407E-02 1.364E-03 4.673E-02 4.620E-02 
2.000E+00 2.981E-04 3.764E-02 8.314E-04 4.139E-02 4.109E-02 
2.044E+00 2.854E-04 3.718E-02 8.025E-04 4.107E-02 4.079E-02 
3.000E+00 1.326E-04 2.963E-02 4.425E-04 3.698E-02 3.685E-02 
4.000E+00 7.468E-05 2.472E-02 2.938E-04 3.559E-02 3.552E-02 
5.000E+00 4.779E-05 2.135E-02 2.176E-04 3.536E-02 3.532E-02 
6.000E+00 3.319E-05 1.887E-02 1.720E-04 3.563E-02 3.560E-02 
7.000E+00 2.439E-05 1.697E-02 1.418E-04 3.620E-02 3.617E-02 
8.000E+00 1.867E-05 1.544E-02 1.204E-04 3.691E-02 3.689E-02 
9.000E+00 1.475E-05 1.420E-02 1.045E-04 3.770E-02 3.769E-02 
1.000E+01 1.195E-05 1.315E-02 9.231E-05 3.853E-02 3.852E-02 
1.100E+01 9.879E-06 1.227E-02 8.256E-05 3.937E-02 3.936E-02 
1.200E+01 8.298E-06 1.151E-02 7.468E-05 4.020E-02 4.020E-02 
1.300E+01 7.072E-06 1.084E-02 6.814E-05 4.101E-02 4.100E-02 
1.400E+01 6.097E-06 1.025E-02 6.268E-05 4.179E-02 4.178E-02 
1.500E+01 5.312E-06 9.734E-03 5.797E-05 4.253E-02 4.252E-02 
1.600E+01 4.668E-06 9.273E-03 5.395E-05 4.324E-02 4.324E-02 
1.800E+01 3.688E-06 8.475E-03 4.735E-05 4.460E-02 4.460E-02 
2.000E+01 2.988E-06 7.816E-03 4.218E-05 4.588E-02 4.587E-02 
2.200E+01 2.469E-06 7.259E-03 3.802E-05 4.707E-02 4.707E-02 
2.400E+01 2.075E-06 6.782E-03 3.460E-05 4.819E-02 4.819E-02 
2.600E+01 1.768E-06 6.370E-03 3.175E-05 4.923E-02 4.923E-02 
2.800E+01 1.525E-06 6.005E-03 2.933E-05 5.020E-02 5.019E-02 
3.000E+01 1.328E-06 5.689E-03 2.725E-05 5.111E-02 5.111E-02 
4.000E+01 7.468E-07 4.520E-03 2.012E-05 5.493E-02 5.493E-02 
