Energy    CoherentScatter IncoherScatter PhotoelAbsorb TotwCoh  TotwoCho
1.000E-03 5.054E+00 5.914E-03 1.057E+04 1.057E+04 1.057E+04 
1.047E-03 5.032E+00 6.362E-03 9.328E+03 9.333E+03 9.328E+03 
1.096E-03 5.008E+00 6.838E-03 8.240E+03 8.245E+03 8.240E+03 
1.096E-03 5.008E+00 6.838E-03 9.340E+03 9.345E+03 9.340E+03 
1.500E-03 4.806E+00 1.086E-02 4.413E+03 4.418E+03 4.413E+03 
2.000E-03 4.525E+00 1.591E-02 2.149E+03 2.154E+03 2.149E+03 
3.000E-03 3.946E+00 2.587E-02 7.449E+02 7.488E+02 7.449E+02 
4.000E-03 3.399E+00 3.527E-02 3.439E+02 3.473E+02 3.439E+02 
5.000E-03 2.914E+00 4.391E-02 1.870E+02 1.899E+02 1.870E+02 
6.000E-03 2.500E+00 5.181E-02 1.131E+02 1.156E+02 1.131E+02 
8.000E-03 1.872E+00 6.569E-02 5.062E+01 5.255E+01 5.068E+01 
8.979E-03 1.646E+00 7.162E-02 3.657E+01 3.829E+01 3.664E+01 
8.979E-03 1.646E+00 7.162E-02 2.766E+02 2.783E+02 2.767E+02 
1.000E-02 1.450E+00 7.725E-02 2.145E+02 2.160E+02 2.145E+02 
1.500E-02 8.797E-01 9.761E-02 7.308E+01 7.405E+01 7.317E+01 
2.000E-02 6.059E-01 1.098E-01 3.308E+01 3.380E+01 3.319E+01 
3.000E-02 3.369E-01 1.231E-01 1.045E+01 1.091E+01 1.058E+01 
4.000E-02 2.124E-01 1.289E-01 4.520E+00 4.862E+00 4.649E+00 
5.000E-02 1.467E-01 1.311E-01 2.335E+00 2.613E+00 2.466E+00 
6.000E-02 1.079E-01 1.313E-01 1.353E+00 1.593E+00 1.485E+00 
8.000E-02 6.595E-02 1.295E-01 5.676E-01 7.630E-01 6.970E-01 
1.000E-01 4.446E-02 1.262E-01 2.878E-01 4.585E-01 4.140E-01 
1.500E-01 2.111E-02 1.171E-01 8.345E-02 2.217E-01 2.006E-01 
2.000E-01 1.226E-02 1.088E-01 3.487E-02 1.559E-01 1.437E-01 
3.000E-01 5.621E-03 9.581E-02 1.051E-02 1.119E-01 1.063E-01 
4.000E-01 3.207E-03 8.626E-02 4.664E-03 9.413E-02 9.092E-02 
5.000E-01 2.068E-03 7.899E-02 2.568E-03 8.363E-02 8.156E-02 
6.000E-01 1.442E-03 7.319E-02 1.621E-03 7.625E-02 7.481E-02 
8.000E-01 8.152E-04 6.441E-02 8.265E-04 6.606E-02 6.524E-02 
1.000E+00 5.228E-04 5.797E-02 5.143E-04 5.901E-02 5.848E-02 
1.022E+00 5.007E-04 5.735E-02 4.885E-04 5.834E-02 5.784E-02 
1.250E+00 3.351E-04 5.187E-02 3.303E-04 5.261E-02 5.228E-02 
1.500E+00 2.329E-04 4.716E-02 2.380E-04 4.803E-02 4.780E-02 
2.000E+00 1.312E-04 4.026E-02 1.464E-04 4.205E-02 4.191E-02 
2.044E+00 1.256E-04 3.976E-02 1.414E-04 4.166E-02 4.153E-02 
3.000E+00 5.830E-05 3.168E-02 7.922E-05 3.599E-02 3.593E-02 
4.000E+00 3.280E-05 2.643E-02 5.324E-05 3.318E-02 3.315E-02 
5.000E+00 2.100E-05 2.283E-02 3.978E-05 3.177E-02 3.175E-02 
6.000E+00 1.458E-05 2.018E-02 3.165E-05 3.108E-02 3.106E-02 
7.000E+00 1.071E-05 1.814E-02 2.622E-05 3.080E-02 3.078E-02 
8.000E+00 8.202E-06 1.651E-02 2.237E-05 3.074E-02 3.073E-02 
9.000E+00 6.481E-06 1.517E-02 1.947E-05 3.084E-02 3.083E-02 
1.000E+01 5.249E-06 1.405E-02 1.725E-05 3.103E-02 3.102E-02 
