Energy CoherentScatter IncoherScatter PhotoelAbsorb TotwCoh TotwoCoh
1.000E-03 4.537E+00 8.777E-03 9.081E+03 9.085E+03 9.081E+03 
1.500E-03 4.241E+00 1.530E-02 3.396E+03 3.400E+03 3.396E+03 
2.000E-03 3.933E+00 2.124E-02 1.623E+03 1.627E+03 1.623E+03 
3.000E-03 3.354E+00 3.206E-02 5.543E+02 5.576E+02 5.543E+02 
4.000E-03 2.849E+00 4.212E-02 2.538E+02 2.567E+02 2.539E+02 
5.000E-03 2.421E+00 5.133E-02 1.374E+02 1.399E+02 1.374E+02 
6.000E-03 2.065E+00 5.966E-02 8.272E+01 8.484E+01 8.278E+01 
7.112E-03 1.745E+00 6.800E-02 5.138E+01 5.320E+01 5.145E+01 
7.112E-03 1.745E+00 6.800E-02 4.059E+02 4.077E+02 4.060E+02 
8.000E-03 1.542E+00 7.395E-02 3.040E+02 3.056E+02 3.041E+02 
1.000E-02 1.201E+00 8.541E-02 1.694E+02 1.707E+02 1.695E+02 
1.500E-02 7.458E-01 1.047E-01 5.623E+01 5.709E+01 5.634E+01 
2.000E-02 5.170E-01 1.162E-01 2.505E+01 2.568E+01 2.517E+01 
3.000E-02 2.849E-01 1.286E-01 7.763E+00 8.176E+00 7.892E+00 
4.000E-02 1.795E-01 1.338E-01 3.316E+00 3.629E+00 3.450E+00 
5.000E-02 1.244E-01 1.355E-01 1.697E+00 1.957E+00 1.833E+00 
6.000E-02 9.178E-02 1.355E-01 9.776E-01 1.205E+00 1.113E+00 
8.000E-02 5.604E-02 1.332E-01 4.060E-01 5.952E-01 5.392E-01 
1.000E-01 3.768E-02 1.296E-01 2.045E-01 3.717E-01 3.341E-01 
1.500E-01 1.781E-02 1.200E-01 5.861E-02 1.964E-01 1.786E-01 
2.000E-01 1.033E-02 1.114E-01 2.433E-02 1.460E-01 1.357E-01 
3.000E-01 4.728E-03 9.788E-02 7.266E-03 1.099E-01 1.051E-01 
4.000E-01 2.694E-03 8.810E-02 3.209E-03 9.400E-02 9.131E-02 
5.000E-01 1.736E-03 8.065E-02 1.762E-03 8.415E-02 8.241E-02 
6.000E-01 1.210E-03 7.472E-02 1.110E-03 7.704E-02 7.583E-02 
8.000E-01 6.833E-04 6.575E-02 5.650E-04 6.699E-02 6.631E-02 
1.000E+00 4.381E-04 5.916E-02 3.514E-04 5.995E-02 5.951E-02 
1.022E+00 4.196E-04 5.853E-02 3.335E-04 5.928E-02 5.887E-02 
1.250E+00 2.808E-04 5.292E-02 2.256E-04 5.350E-02 5.322E-02 
1.500E+00 1.951E-04 4.811E-02 1.627E-04 4.883E-02 4.864E-02 
2.000E+00 1.099E-04 4.107E-02 1.003E-04 4.265E-02 4.254E-02 
2.044E+00 1.052E-04 4.057E-02 9.692E-05 4.224E-02 4.213E-02 
3.000E+00 4.884E-05 3.232E-02 5.448E-05 3.621E-02 3.616E-02 
4.000E+00 2.748E-05 2.697E-02 3.670E-05 3.312E-02 3.309E-02 
5.000E+00 1.759E-05 2.329E-02 2.747E-05 3.146E-02 3.144E-02 
6.000E+00 1.222E-05 2.059E-02 2.188E-05 3.057E-02 3.056E-02 
7.000E+00 8.973E-06 1.850E-02 1.815E-05 3.011E-02 3.010E-02 
8.000E+00 6.870E-06 1.684E-02 1.548E-05 2.991E-02 2.991E-02 
9.000E+00 5.428E-06 1.547E-02 1.350E-05 2.987E-02 2.986E-02 
1.000E+01 4.396E-06 1.434E-02 1.196E-05 2.994E-02 2.994E-02 
1.100E+01 3.634E-06 1.337E-02 1.073E-05 3.007E-02 3.007E-02 
1.200E+01 3.054E-06 1.254E-02 9.725E-06 3.025E-02 3.024E-02 
1.300E+01 2.602E-06 1.182E-02 8.894E-06 3.044E-02 3.044E-02 
1.400E+01 2.243E-06 1.118E-02 8.192E-06 3.068E-02 3.068E-02 
1.500E+01 1.954E-06 1.062E-02 7.593E-06 3.092E-02 3.092E-02 
1.600E+01 1.718E-06 1.011E-02 7.074E-06 3.118E-02 3.118E-02 
1.800E+01 1.358E-06 9.239E-03 6.223E-06 3.171E-02 3.170E-02 
2.000E+01 1.099E-06 8.520E-03 5.554E-06 3.224E-02 3.223E-02 
2.200E+01 9.085E-07 7.914E-03 5.015E-06 3.277E-02 3.277E-02 
2.400E+01 7.633E-07 7.395E-03 4.571E-06 3.327E-02 3.327E-02 
2.600E+01 6.504E-07 6.944E-03 4.199E-06 3.377E-02 3.377E-02 
2.800E+01 5.608E-07 6.551E-03 3.882E-06 3.423E-02 3.423E-02 
3.000E+01 4.886E-07 6.203E-03 3.610E-06 3.469E-02 3.469E-02 
4.000E+01 2.749E-07 4.929E-03 2.673E-06 3.666E-02 3.666E-02 
5.000E+01 1.759E-07 4.114E-03 2.122E-06 3.828E-02 3.828E-02 
6.000E+01 1.222E-07 3.544E-03 1.759E-06 3.961E-02 3.961E-02 
8.000E+01 6.870E-08 2.796E-03 1.311E-06 4.172E-02 4.172E-02 
1.000E+02 4.396E-08 2.321E-03 1.045E-06 4.329E-02 4.329E-02 
