Energy CoherentScatter IncoherScatter PhotoelAbsorb TotwCoh TotwoCoh
1.000E-03 1.291E+00 1.101E-02 3.310E+03 3.311E+03 3.310E+03 
1.500E-03 1.175E+00 2.235E-02 1.081E+03 1.083E+03 1.081E+03 
2.000E-03 1.046E+00 3.511E-02 4.759E+02 4.770E+02 4.760E+02 
3.000E-03 8.001E-01 5.985E-02 1.448E+02 1.456E+02 1.448E+02 
4.000E-03 6.110E-01 8.023E-02 6.097E+01 6.166E+01 6.105E+01 
5.000E-03 4.772E-01 9.566E-02 3.087E+01 3.144E+01 3.097E+01 
6.000E-03 3.838E-01 1.072E-01 1.759E+01 1.808E+01 1.770E+01 
8.000E-03 2.685E-01 1.229E-01 7.167E+00 7.559E+00 7.290E+00 
1.000E-02 2.030E-01 1.330E-01 3.543E+00 3.879E+00 3.676E+00 
1.500E-02 1.206E-01 1.483E-01 9.674E-01 1.236E+00 1.116E+00 
2.000E-02 8.040E-02 1.567E-01 3.808E-01 6.179E-01 5.375E-01 
3.000E-02 4.230E-02 1.634E-01 1.010E-01 3.066E-01 2.643E-01 
4.000E-02 2.584E-02 1.639E-01 3.907E-02 2.288E-01 2.029E-01 
5.000E-02 1.738E-02 1.619E-01 1.866E-02 1.980E-01 1.806E-01 
6.000E-02 1.247E-02 1.591E-01 1.019E-02 1.817E-01 1.693E-01 
8.000E-02 7.296E-03 1.527E-01 3.919E-03 1.639E-01 1.566E-01 
1.000E-01 4.768E-03 1.463E-01 1.869E-03 1.529E-01 1.482E-01 
1.500E-01 2.170E-03 1.326E-01 4.919E-04 1.353E-01 1.331E-01 
2.000E-01 1.231E-03 1.218E-01 1.942E-04 1.233E-01 1.220E-01 
3.000E-01 5.508E-04 1.062E-01 5.460E-05 1.068E-01 1.063E-01 
4.000E-01 3.105E-04 9.523E-02 2.334E-05 9.557E-02 9.526E-02 
5.000E-01 1.989E-04 8.698E-02 1.256E-05 8.719E-02 8.699E-02 
6.000E-01 1.382E-04 8.049E-02 7.821E-06 8.063E-02 8.049E-02 
8.000E-01 7.778E-05 7.073E-02 3.946E-06 7.081E-02 7.073E-02 
1.000E+00 4.979E-05 6.359E-02 2.452E-06 6.364E-02 6.359E-02 
1.022E+00 4.768E-05 6.294E-02 2.276E-06 6.299E-02 6.295E-02 
1.250E+00 3.188E-05 5.688E-02 1.545E-06 5.693E-02 5.690E-02 
1.500E+00 2.214E-05 5.168E-02 1.122E-06 5.180E-02 5.177E-02 
2.000E+00 1.246E-05 4.411E-02 7.064E-07 4.450E-02 4.449E-02 
2.044E+00 1.192E-05 4.355E-02 6.836E-07 4.397E-02 4.396E-02 
3.000E+00 5.533E-06 3.471E-02 3.955E-07 3.579E-02 3.579E-02 
4.000E+00 3.114E-06 2.895E-02 2.719E-07 3.074E-02 3.073E-02 
5.000E+00 1.993E-06 2.500E-02 2.063E-07 2.742E-02 2.742E-02 
6.000E+00 1.384E-06 2.210E-02 1.660E-07 2.511E-02 2.510E-02 
7.000E+00 1.017E-06 1.986E-02 1.387E-07 2.340E-02 2.339E-02 
8.000E+00 7.786E-07 1.808E-02 1.191E-07 2.209E-02 2.209E-02 
9.000E+00 6.153E-07 1.662E-02 1.043E-07 2.106E-02 2.106E-02 
1.000E+01 4.983E-07 1.540E-02 9.274E-08 2.024E-02 2.024E-02 
