Energy CoherentScatter IncoherScatter PhotoelAbsorb TotwCoh TotwoCoh
1.000E-03 5.052E+00 7.812E-03 9.850E+03 9.856E+03 9.850E+03 
1.004E-03 5.050E+00 7.861E-03 9.748E+03 9.753E+03 9.748E+03 
1.008E-03 5.047E+00 7.910E-03 9.651E+03 9.656E+03 9.651E+03 
1.008E-03 5.047E+00 7.910E-03 1.099E+04 1.099E+04 1.099E+04 
1.500E-03 4.761E+00 1.390E-02 4.230E+03 4.234E+03 4.230E+03 
2.000E-03 4.447E+00 1.960E-02 2.044E+03 2.048E+03 2.044E+03 
3.000E-03 3.838E+00 3.003E-02 7.056E+02 7.095E+02 7.057E+02 
4.000E-03 3.293E+00 3.984E-02 3.249E+02 3.282E+02 3.249E+02 
5.000E-03 2.819E+00 4.895E-02 1.764E+02 1.793E+02 1.764E+02 
6.000E-03 2.417E+00 5.727E-02 1.065E+02 1.090E+02 1.066E+02 
8.000E-03 1.811E+00 7.172E-02 4.764E+01 4.952E+01 4.771E+01 
8.333E-03 1.733E+00 7.386E-02 4.247E+01 4.428E+01 4.254E+01 
8.333E-03 1.733E+00 7.386E-02 3.275E+02 3.293E+02 3.276E+02 
1.000E-02 1.406E+00 8.359E-02 2.075E+02 2.090E+02 2.076E+02 
1.500E-02 8.601E-01 1.041E-01 6.985E+01 7.081E+01 6.995E+01 
2.000E-02 5.947E-01 1.165E-01 3.149E+01 3.220E+01 3.161E+01 
3.000E-02 3.303E-01 1.299E-01 9.883E+00 1.034E+01 1.001E+01 
4.000E-02 2.082E-01 1.356E-01 4.256E+00 4.600E+00 4.392E+00 
5.000E-02 1.440E-01 1.377E-01 2.193E+00 2.474E+00 2.330E+00 
6.000E-02 1.061E-01 1.378E-01 1.267E+00 1.511E+00 1.405E+00 
8.000E-02 6.483E-02 1.358E-01 5.300E-01 7.306E-01 6.657E-01 
1.000E-01 4.367E-02 1.323E-01 2.680E-01 4.439E-01 4.003E-01 
1.500E-01 2.072E-02 1.226E-01 7.746E-02 2.208E-01 2.001E-01 
2.000E-01 1.203E-02 1.139E-01 3.229E-02 1.582E-01 1.462E-01 
3.000E-01 5.510E-03 1.002E-01 9.702E-03 1.154E-01 1.099E-01 
4.000E-01 3.143E-03 9.020E-02 4.299E-03 9.765E-02 9.450E-02 
5.000E-01 2.027E-03 8.259E-02 2.365E-03 8.698E-02 8.496E-02 
6.000E-01 1.413E-03 7.654E-02 1.491E-03 7.944E-02 7.803E-02 
8.000E-01 7.983E-04 6.735E-02 7.603E-04 6.891E-02 6.811E-02 
1.000E+00 5.120E-04 6.061E-02 4.730E-04 6.160E-02 6.108E-02 
1.022E+00 4.903E-04 5.996E-02 4.492E-04 6.090E-02 6.041E-02 
1.250E+00 3.281E-04 5.423E-02 3.037E-04 5.494E-02 5.461E-02 
1.500E+00 2.280E-04 4.930E-02 2.189E-04 5.015E-02 4.992E-02 
2.000E+00 1.284E-04 4.209E-02 1.348E-04 4.387E-02 4.374E-02 
2.044E+00 1.229E-04 4.157E-02 1.302E-04 4.345E-02 4.333E-02 
3.000E+00 5.708E-05 3.312E-02 7.301E-05 3.745E-02 3.740E-02 
4.000E+00 3.212E-05 2.763E-02 4.910E-05 3.444E-02 3.440E-02 
5.000E+00 2.055E-05 2.387E-02 3.671E-05 3.289E-02 3.287E-02 
6.000E+00 1.427E-05 2.110E-02 2.921E-05 3.210E-02 3.209E-02 
7.000E+00 1.049E-05 1.896E-02 2.422E-05 3.174E-02 3.173E-02 
8.000E+00 8.030E-06 1.726E-02 2.066E-05 3.164E-02 3.163E-02 
9.000E+00 6.345E-06 1.586E-02 1.800E-05 3.170E-02 3.170E-02 
1.000E+01 5.140E-06 1.469E-02 1.594E-05 3.185E-02 3.184E-02 
1.100E+01 4.248E-06 1.371E-02 1.429E-05 3.207E-02 3.207E-02 
1.200E+01 3.569E-06 1.286E-02 1.296E-05 3.231E-02 3.231E-02 
1.300E+01 3.041E-06 1.211E-02 1.184E-05 3.259E-02 3.258E-02 
1.400E+01 2.623E-06 1.146E-02 1.091E-05 3.289E-02 3.288E-02 
1.500E+01 2.284E-06 1.088E-02 1.011E-05 3.320E-02 3.319E-02 
1.600E+01 2.008E-06 1.036E-02 9.416E-06 3.352E-02 3.351E-02 
1.800E+01 1.586E-06 9.468E-03 8.283E-06 3.414E-02 3.414E-02 
2.000E+01 1.285E-06 8.731E-03 7.391E-06 3.476E-02 3.476E-02 
2.200E+01 1.062E-06 8.109E-03 6.672E-06 3.538E-02 3.538E-02 
2.400E+01 8.924E-07 7.578E-03 6.080E-06 3.597E-02 3.597E-02 
2.600E+01 7.603E-07 7.116E-03 5.584E-06 3.654E-02 3.654E-02 
2.800E+01 6.556E-07 6.713E-03 5.163E-06 3.708E-02 3.708E-02 
3.000E+01 5.711E-07 6.357E-03 4.801E-06 3.759E-02 3.759E-02 
4.000E+01 3.213E-07 5.050E-03 3.553E-06 3.984E-02 3.984E-02 
5.000E+01 2.056E-07 4.216E-03 2.821E-06 4.167E-02 4.167E-02 
6.000E+01 1.427E-07 3.632E-03 2.337E-06 4.318E-02 4.318E-02 
8.000E+01 8.030E-08 2.865E-03 1.741E-06 4.552E-02 4.552E-02 
1.000E+02 5.140E-08 2.377E-03 1.387E-06 4.726E-02 4.726E-02 
