Energy CoherentScatter IncoherScatter PhotoelAbsorb TotwCoh TotwoCoh
1.000E-03 1.501E+00 8.514E-03 4.588E+03 4.590E+03 4.588E+03 
1.500E-03 1.392E+00 1.768E-02 1.547E+03 1.549E+03 1.547E+03 
2.000E-03 1.263E+00 2.846E-02 6.937E+02 6.950E+02 6.937E+02 
3.000E-03 1.002E+00 5.089E-02 2.160E+02 2.171E+02 2.161E+02 
4.000E-03 7.833E-01 7.099E-02 9.229E+01 9.315E+01 9.236E+01 
5.000E-03 6.180E-01 8.744E-02 4.720E+01 4.791E+01 4.729E+01 
6.000E-03 4.980E-01 1.003E-01 2.710E+01 2.770E+01 2.720E+01 
8.000E-03 3.447E-01 1.182E-01 1.117E+01 1.163E+01 1.129E+01 
1.000E-02 2.565E-01 1.294E-01 5.567E+00 5.953E+00 5.696E+00 
1.500E-02 1.486E-01 1.454E-01 1.542E+00 1.836E+00 1.687E+00 
2.000E-02 9.888E-02 1.540E-01 6.124E-01 8.653E-01 7.664E-01 
3.000E-02 5.247E-02 1.613E-01 1.641E-01 3.779E-01 3.254E-01 
4.000E-02 3.215E-02 1.624E-01 6.395E-02 2.585E-01 2.264E-01 
5.000E-02 2.166E-02 1.609E-01 3.068E-02 2.133E-01 1.916E-01 
6.000E-02 1.558E-02 1.584E-01 1.681E-02 1.907E-01 1.752E-01 
8.000E-02 9.139E-03 1.522E-01 6.497E-03 1.679E-01 1.587E-01 
1.000E-01 5.988E-03 1.460E-01 3.111E-03 1.551E-01 1.492E-01 
1.500E-01 2.734E-03 1.325E-01 8.228E-04 1.361E-01 1.334E-01 
2.000E-01 1.554E-03 1.218E-01 3.251E-04 1.237E-01 1.221E-01 
3.000E-01 6.960E-04 1.062E-01 9.188E-05 1.070E-01 1.063E-01 
4.000E-01 3.926E-04 9.523E-02 3.933E-05 9.566E-02 9.527E-02 
5.000E-01 2.516E-04 8.702E-02 2.121E-05 8.730E-02 8.704E-02 
6.000E-01 1.748E-04 8.051E-02 1.321E-05 8.070E-02 8.052E-02 
8.000E-01 9.843E-05 7.076E-02 6.666E-06 7.087E-02 7.077E-02 
1.000E+00 6.301E-05 6.365E-02 4.144E-06 6.372E-02 6.365E-02 
1.022E+00 6.034E-05 6.297E-02 3.862E-06 6.304E-02 6.298E-02 
1.250E+00 4.035E-05 5.691E-02 2.622E-06 5.697E-02 5.693E-02 
1.500E+00 2.801E-05 5.172E-02 1.902E-06 5.185E-02 5.183E-02 
2.000E+00 1.576E-05 4.415E-02 1.197E-06 4.460E-02 4.458E-02 
2.044E+00 1.509E-05 4.359E-02 1.157E-06 4.406E-02 4.405E-02 
3.000E+00 7.005E-06 3.473E-02 6.685E-07 3.597E-02 3.596E-02 
4.000E+00 3.941E-06 2.897E-02 4.588E-07 3.100E-02 3.100E-02 
5.000E+00 2.521E-06 2.502E-02 3.479E-07 2.777E-02 2.777E-02 
6.000E+00 1.751E-06 2.211E-02 2.797E-07 2.552E-02 2.552E-02 
7.000E+00 1.287E-06 1.987E-02 2.336E-07 2.388E-02 2.388E-02 
8.000E+00 9.850E-07 1.809E-02 2.005E-07 2.263E-02 2.263E-02 
9.000E+00 7.784E-07 1.663E-02 1.755E-07 2.166E-02 2.166E-02 
1.000E+01 6.305E-07 1.541E-02 1.561E-07 2.089E-02 2.089E-02 
1.100E+01 5.209E-07 1.437E-02 1.405E-07 2.026E-02 2.026E-02 
1.200E+01 4.378E-07 1.348E-02 1.277E-07 1.974E-02 1.974E-02 
1.300E+01 3.730E-07 1.269E-02 1.170E-07 1.931E-02 1.931E-02 
1.400E+01 3.216E-07 1.201E-02 1.080E-07 1.896E-02 1.896E-02 
1.500E+01 2.802E-07 1.140E-02 1.003E-07 1.866E-02 1.866E-02 
1.600E+01 2.462E-07 1.086E-02 9.357E-08 1.841E-02 1.841E-02 
1.800E+01 1.946E-07 9.922E-03 8.254E-08 1.800E-02 1.800E-02 
2.000E+01 1.576E-07 9.150E-03 7.381E-08 1.770E-02 1.770E-02 
2.200E+01 1.303E-07 8.499E-03 6.677E-08 1.749E-02 1.749E-02 
2.400E+01 1.095E-07 7.942E-03 6.094E-08 1.733E-02 1.733E-02 
2.600E+01 9.327E-08 7.456E-03 5.605E-08 1.720E-02 1.720E-02 
2.800E+01 8.040E-08 7.035E-03 5.187E-08 1.712E-02 1.712E-02 
3.000E+01 7.005E-08 6.662E-03 4.829E-08 1.706E-02 1.706E-02 
4.000E+01 3.941E-08 5.292E-03 3.587E-08 1.696E-02 1.696E-02 
5.000E+01 2.521E-08 4.419E-03 2.853E-08 1.706E-02 1.706E-02 
6.000E+01 1.751E-08 3.805E-03 2.369E-08 1.722E-02 1.722E-02 
8.000E+01 9.850E-09 3.003E-03 1.768E-08 1.759E-02 1.759E-02 
1.000E+02 6.305E-09 2.492E-03 1.410E-08 1.794E-02 1.794E-02 
