Energy CoherentScatter IncoherScatter PhotoelAbsorb TotwCoh TotwoCoh
1.000E-03 2.528E+00 1.317E-02 1.567E+03 1.570E+03 1.567E+03 
1.500E-03 2.286E+00 2.393E-02 5.333E+02 5.356E+02 5.333E+02 
1.839E-03 2.121E+00 3.081E-02 3.071E+02 3.092E+02 3.071E+02 
1.839E-03 2.121E+00 3.081E-02 3.191E+03 3.193E+03 3.191E+03 
2.000E-03 2.048E+00 3.388E-02 2.775E+03 2.777E+03 2.775E+03 
3.000E-03 1.669E+00 4.962E-02 9.767E+02 9.784E+02 9.767E+02 
4.000E-03 1.404E+00 6.135E-02 4.514E+02 4.528E+02 4.514E+02 
5.000E-03 1.208E+00 7.110E-02 2.438E+02 2.451E+02 2.439E+02 
6.000E-03 1.051E+00 7.983E-02 1.458E+02 1.470E+02 1.459E+02 
8.000E-03 8.039E-01 9.507E-02 6.379E+01 6.469E+01 6.389E+01 
1.000E-02 6.223E-01 1.076E-01 3.315E+01 3.388E+01 3.326E+01 
1.500E-02 3.585E-01 1.289E-01 9.848E+00 1.034E+01 9.977E+00 
2.000E-02 2.341E-01 1.402E-01 4.089E+00 4.463E+00 4.229E+00 
3.000E-02 1.255E-01 1.501E-01 1.161E+00 1.436E+00 1.311E+00 
4.000E-02 7.886E-02 1.534E-01 4.687E-01 7.010E-01 6.221E-01 
5.000E-02 5.399E-02 1.538E-01 2.307E-01 4.385E-01 3.845E-01 
6.000E-02 3.917E-02 1.526E-01 1.288E-01 3.206E-01 2.815E-01 
8.000E-02 2.324E-02 1.483E-01 5.120E-02 2.228E-01 1.995E-01 
1.000E-01 1.537E-02 1.432E-01 2.498E-02 1.835E-01 1.682E-01 
1.500E-01 7.125E-03 1.309E-01 6.806E-03 1.448E-01 1.377E-01 
2.000E-01 4.085E-03 1.207E-01 2.736E-03 1.275E-01 1.235E-01 
3.000E-01 1.844E-03 1.055E-01 7.882E-04 1.082E-01 1.063E-01 
4.000E-01 1.043E-03 9.475E-02 3.409E-04 9.614E-02 9.509E-02 
5.000E-01 6.696E-04 8.663E-02 1.849E-04 8.748E-02 8.681E-02 
6.000E-01 4.657E-04 8.019E-02 1.156E-04 8.078E-02 8.031E-02 
8.000E-01 2.625E-04 7.050E-02 5.854E-05 7.082E-02 7.056E-02 
1.000E+00 1.680E-04 6.340E-02 3.639E-05 6.361E-02 6.344E-02 
1.022E+00 1.609E-04 6.274E-02 3.433E-05 6.293E-02 6.277E-02 
1.250E+00 1.076E-04 5.671E-02 2.326E-05 5.688E-02 5.677E-02 
1.500E+00 7.475E-05 5.155E-02 1.684E-05 5.183E-02 5.175E-02 
2.000E+00 4.205E-05 4.400E-02 1.050E-05 4.481E-02 4.476E-02 
2.044E+00 4.027E-05 4.346E-02 1.016E-05 4.433E-02 4.429E-02 
3.000E+00 1.869E-05 3.461E-02 5.800E-06 3.678E-02 3.677E-02 
4.000E+00 1.052E-05 2.888E-02 3.952E-06 3.240E-02 3.239E-02 
5.000E+00 6.731E-06 2.494E-02 2.983E-06 2.967E-02 2.967E-02 
6.000E+00 4.674E-06 2.204E-02 2.389E-06 2.788E-02 2.787E-02 
7.000E+00 3.435E-06 1.981E-02 1.990E-06 2.663E-02 2.663E-02 
8.000E+00 2.629E-06 1.803E-02 1.705E-06 2.574E-02 2.574E-02 
9.000E+00 2.077E-06 1.657E-02 1.490E-06 2.509E-02 2.509E-02 
1.000E+01 1.683E-06 1.536E-02 1.323E-06 2.462E-02 2.461E-02 
1.100E+01 1.391E-06 1.432E-02 1.189E-06 2.425E-02 2.425E-02 
1.200E+01 1.169E-06 1.343E-02 1.080E-06 2.398E-02 2.398E-02 
1.300E+01 9.958E-07 1.266E-02 9.889E-07 2.378E-02 2.377E-02 
1.400E+01 8.585E-07 1.197E-02 9.121E-07 2.362E-02 2.362E-02 
1.500E+01 7.479E-07 1.137E-02 8.463E-07 2.352E-02 2.352E-02 
1.600E+01 6.572E-07 1.082E-02 7.893E-07 2.345E-02 2.345E-02 
1.800E+01 5.193E-07 9.893E-03 6.954E-07 2.338E-02 2.338E-02 
2.000E+01 4.207E-07 9.124E-03 6.216E-07 2.338E-02 2.338E-02 
2.200E+01 3.476E-07 8.474E-03 5.618E-07 2.343E-02 2.343E-02 
2.400E+01 2.920E-07 7.919E-03 5.125E-07 2.351E-02 2.351E-02 
2.600E+01 2.489E-07 7.436E-03 4.711E-07 2.361E-02 2.361E-02 
2.800E+01 2.146E-07 7.014E-03 4.359E-07 2.372E-02 2.372E-02 
3.000E+01 1.870E-07 6.641E-03 4.057E-07 2.385E-02 2.385E-02 
4.000E+01 1.052E-07 5.277E-03 3.010E-07 2.455E-02 2.455E-02 
5.000E+01 6.731E-08 4.406E-03 2.393E-07 2.522E-02 2.522E-02 
6.000E+01 4.674E-08 3.795E-03 1.985E-07 2.583E-02 2.583E-02 
8.000E+01 2.629E-08 2.993E-03 1.481E-07 2.685E-02 2.685E-02 
1.000E+02 1.683E-08 2.485E-03 1.181E-07 2.764E-02 2.764E-02 
