Energy    CoherentScatter IncoherScatter PhotoelAbsorb TotwCoh  TotwoCho
1.000E-03 8.000E+00 5.271E-03 8.147E+03 8.155E+03 8.147E+03 
1.500E-03 7.569E+00 9.684E-03 3.288E+03 3.296E+03 3.288E+03 
2.000E-03 7.102E+00 1.405E-02 1.658E+03 1.665E+03 1.658E+03 
3.000E-03 6.204E+00 2.202E-02 6.077E+02 6.140E+02 6.078E+02 
3.929E-03 5.464E+00 2.858E-02 3.060E+02 3.114E+02 3.060E+02 
3.929E-03 5.464E+00 2.858E-02 9.202E+02 9.257E+02 9.203E+02 
4.000E-03 5.408E+00 2.906E-02 9.339E+02 9.394E+02 9.340E+02 
4.156E-03 5.296E+00 3.009E-02 8.416E+02 8.469E+02 8.416E+02 
4.156E-03 5.296E+00 3.009E-02 1.139E+03 1.145E+03 1.139E+03 
4.308E-03 5.189E+00 3.108E-02 1.049E+03 1.055E+03 1.049E+03 
4.465E-03 5.078E+00 3.208E-02 9.659E+02 9.710E+02 9.659E+02 
4.465E-03 5.078E+00 3.208E-02 1.112E+03 1.117E+03 1.112E+03 
5.000E-03 4.722E+00 3.540E-02 8.421E+02 8.469E+02 8.422E+02 
6.000E-03 4.142E+00 4.122E-02 5.251E+02 5.292E+02 5.251E+02 
8.000E-03 3.256E+00 5.164E-02 2.467E+02 2.501E+02 2.468E+02 
1.000E-02 2.647E+00 6.067E-02 1.357E+02 1.384E+02 1.358E+02 
1.500E-02 1.744E+00 7.731E-02 4.482E+01 4.664E+01 4.490E+01 
2.000E-02 1.227E+00 8.807E-02 2.014E+01 2.146E+01 2.023E+01 
2.920E-02 7.193E-01 1.001E-01 6.940E+00 7.759E+00 7.040E+00 
2.920E-02 7.193E-01 1.001E-01 4.277E+01 4.358E+01 4.287E+01 
3.000E-02 6.914E-01 1.009E-01 4.042E+01 4.121E+01 4.052E+01 
4.000E-02 4.513E-01 1.077E-01 1.887E+01 1.943E+01 1.897E+01 
5.000E-02 3.199E-01 1.113E-01 1.027E+01 1.070E+01 1.038E+01 
6.000E-02 2.378E-01 1.129E-01 6.214E+00 6.565E+00 6.327E+00 
8.000E-02 1.456E-01 1.132E-01 2.770E+00 3.029E+00 2.883E+00 
1.000E-01 9.862E-02 1.115E-01 1.467E+00 1.677E+00 1.578E+00 
1.500E-01 4.790E-02 1.049E-01 4.564E-01 6.091E-01 5.612E-01 
2.000E-01 2.827E-02 9.821E-02 1.995E-01 3.260E-01 2.977E-01 
3.000E-01 1.315E-02 8.720E-02 6.351E-02 1.639E-01 1.507E-01 
4.000E-01 7.564E-03 7.888E-02 2.915E-02 1.156E-01 1.080E-01 
5.000E-01 4.906E-03 7.244E-02 1.639E-02 9.374E-02 8.883E-02 
6.000E-01 3.435E-03 6.722E-02 1.048E-02 8.113E-02 7.770E-02 
8.000E-01 1.951E-03 5.925E-02 5.418E-03 6.662E-02 6.467E-02 
1.000E+00 1.255E-03 5.337E-02 3.381E-03 5.800E-02 5.675E-02 
1.022E+00 1.202E-03 5.281E-02 3.217E-03 5.723E-02 5.603E-02 
1.250E+00 8.061E-04 4.779E-02 2.170E-03 5.094E-02 5.013E-02 
1.500E+00 5.606E-04 4.347E-02 1.554E-03 4.638E-02 4.582E-02 
2.000E+00 3.161E-04 3.712E-02 9.466E-04 4.112E-02 4.080E-02 
2.044E+00 3.027E-04 3.667E-02 9.136E-04 4.081E-02 4.050E-02 
3.000E+00 1.407E-04 2.923E-02 5.031E-04 3.686E-02 3.672E-02 
4.000E+00 7.919E-05 2.439E-02 3.337E-04 3.561E-02 3.553E-02 
5.000E+00 5.069E-05 2.106E-02 2.471E-04 3.548E-02 3.543E-02 
6.000E+00 3.521E-05 1.862E-02 1.951E-04 3.583E-02 3.580E-02 
7.000E+00 2.587E-05 1.674E-02 1.608E-04 3.647E-02 3.644E-02 
8.000E+00 1.980E-05 1.523E-02 1.365E-04 3.724E-02 3.722E-02 
9.000E+00 1.565E-05 1.400E-02 1.185E-04 3.808E-02 3.806E-02 
1.000E+01 1.268E-05 1.297E-02 1.046E-04 3.895E-02 3.894E-02 
