Energy    CoherentScatter IncoherScatter PhotoelAbsorb TotwCoh  TotwoCho
1.000E-03 1.130E+01 4.486E-03 3.498E+03 3.509E+03 3.498E+03 
1.500E-03 1.082E+01 7.698E-03 1.556E+03 1.566E+03 1.556E+03 
1.735E-03 1.058E+01 9.139E-03 1.144E+03 1.154E+03 1.144E+03 
1.735E-03 1.058E+01 9.139E-03 1.393E+03 1.403E+03 1.393E+03 
1.764E-03 1.055E+01 9.314E-03 2.057E+03 2.067E+03 2.057E+03 
1.793E-03 1.052E+01 9.492E-03 3.034E+03 3.044E+03 3.034E+03 
1.793E-03 1.052E+01 9.492E-03 3.371E+03 3.382E+03 3.371E+03 
2.000E-03 1.030E+01 1.075E-02 3.761E+03 3.771E+03 3.761E+03 
2.194E-03 1.008E+01 1.192E-02 2.975E+03 2.985E+03 2.975E+03 
2.194E-03 1.008E+01 1.192E-02 3.455E+03 3.465E+03 3.455E+03 
2.327E-03 9.952E+00 1.272E-02 2.993E+03 3.003E+03 2.993E+03 
2.469E-03 9.811E+00 1.355E-02 2.595E+03 2.604E+03 2.595E+03 
2.469E-03 9.811E+00 1.355E-02 2.758E+03 2.767E+03 2.758E+03 
2.586E-03 9.687E+00 1.424E-02 2.476E+03 2.486E+03 2.476E+03 
2.708E-03 9.555E+00 1.496E-02 2.224E+03 2.233E+03 2.224E+03 
2.708E-03 9.555E+00 1.496E-02 2.320E+03 2.329E+03 2.320E+03 
3.000E-03 9.249E+00 1.666E-02 1.829E+03 1.838E+03 1.829E+03 
4.000E-03 8.274E+00 2.227E-02 9.139E+02 9.222E+02 9.139E+02 
5.000E-03 7.388E+00 2.755E-02 5.255E+02 5.329E+02 5.255E+02 
6.000E-03 6.610E+00 3.246E-02 3.316E+02 3.382E+02 3.316E+02 
8.000E-03 5.338E+00 4.107E-02 1.585E+02 1.639E+02 1.586E+02 
9.881E-03 4.426E+00 4.789E-02 9.152E+01 9.600E+01 9.157E+01 
9.881E-03 4.426E+00 4.789E-02 2.393E+02 2.437E+02 2.393E+02 
1.000E-02 4.376E+00 4.829E-02 2.335E+02 2.379E+02 2.335E+02 
1.114E-02 3.934E+00 5.192E-02 1.751E+02 1.790E+02 1.751E+02 
1.114E-02 3.934E+00 5.192E-02 2.409E+02 2.449E+02 2.410E+02 
1.141E-02 3.838E+00 5.275E-02 2.273E+02 2.312E+02 2.274E+02 
1.168E-02 3.744E+00 5.358E-02 2.145E+02 2.183E+02 2.145E+02 
1.168E-02 3.744E+00 5.358E-02 2.479E+02 2.517E+02 2.480E+02 
1.500E-02 2.832E+00 6.240E-02 1.311E+02 1.340E+02 1.312E+02 
2.000E-02 1.999E+00 7.302E-02 6.127E+01 6.334E+01 6.134E+01 
3.000E-02 1.182E+00 8.706E-02 2.060E+01 2.187E+01 2.069E+01 
4.000E-02 7.781E-01 9.485E-02 9.382E+00 1.025E+01 9.477E+00 
5.000E-02 5.501E-01 9.918E-02 5.069E+00 5.718E+00 5.168E+00 
6.000E-02 4.124E-01 1.015E-01 3.055E+00 3.569E+00 3.156E+00 
6.742E-02 3.418E-01 1.024E-01 2.208E+00 2.652E+00 2.310E+00 
6.742E-02 3.418E-01 1.024E-01 1.136E+01 1.180E+01 1.146E+01 
8.000E-02 2.589E-01 1.030E-01 7.225E+00 7.587E+00 7.328E+00 
1.000E-01 1.777E-01 1.025E-01 4.020E+00 4.300E+00 4.123E+00 
1.500E-01 8.686E-02 9.771E-02 1.346E+00 1.531E+00 1.444E+00 
2.000E-01 5.175E-02 9.212E-02 6.160E-01 7.599E-01 7.082E-01 
3.000E-01 2.455E-02 8.237E-02 2.080E-01 3.149E-01 2.904E-01 
4.000E-01 1.427E-02 7.478E-02 9.901E-02 1.881E-01 1.738E-01 
5.000E-01 9.312E-03 6.886E-02 5.708E-02 1.352E-01 1.259E-01 
6.000E-01 6.550E-03 6.400E-02 3.708E-02 1.076E-01 1.011E-01 
8.000E-01 3.744E-03 5.654E-02 1.952E-02 7.981E-02 7.607E-02 
1.000E+00 2.418E-03 5.099E-02 1.226E-02 6.566E-02 6.325E-02 
1.022E+00 2.316E-03 5.045E-02 1.173E-02 6.451E-02 6.219E-02 
1.250E+00 1.558E-03 4.566E-02 7.914E-03 5.545E-02 5.389E-02 
1.500E+00 1.086E-03 4.157E-02 5.644E-03 4.977E-02 4.869E-02 
2.000E+00 6.137E-04 3.551E-02 3.418E-03 4.414E-02 4.352E-02 
2.044E+00 5.877E-04 3.508E-02 3.295E-03 4.384E-02 4.325E-02 
3.000E+00 2.737E-04 2.798E-02 1.794E-03 4.057E-02 4.030E-02 
4.000E+00 1.542E-04 2.335E-02 1.178E-03 4.018E-02 4.003E-02 
5.000E+00 9.871E-05 2.017E-02 8.653E-04 4.082E-02 4.073E-02 
6.000E+00 6.859E-05 1.783E-02 6.793E-04 4.188E-02 4.181E-02 
7.000E+00 5.039E-05 1.602E-02 5.571E-04 4.312E-02 4.307E-02 
8.000E+00 3.861E-05 1.459E-02 4.713E-04 4.446E-02 4.442E-02 
9.000E+00 3.049E-05 1.341E-02 4.077E-04 4.582E-02 4.579E-02 
1.000E+01 2.470E-05 1.242E-02 3.591E-04 4.717E-02 4.714E-02 
