Energy CoherentScatter IncoherScatter PhotoelAbsorb TotwCoh TotwoCoh
1.000E-03 8.052E+00 4.743E-03 8.424E+03 8.432E+03 8.424E+03 
1.003E-03 8.049E+00 4.767E-03 8.372E+03 8.380E+03 8.372E+03 
1.006E-03 8.047E+00 4.790E-03 8.321E+03 8.329E+03 8.321E+03 
1.006E-03 8.047E+00 4.790E-03 8.675E+03 8.683E+03 8.675E+03 
1.500E-03 7.608E+00 8.948E-03 3.600E+03 3.608E+03 3.600E+03 
2.000E-03 7.122E+00 1.326E-02 1.825E+03 1.832E+03 1.825E+03 
3.000E-03 6.197E+00 2.137E-02 6.730E+02 6.792E+02 6.730E+02 
4.000E-03 5.404E+00 2.845E-02 3.243E+02 3.297E+02 3.243E+02 
4.341E-03 5.163E+00 3.063E-02 2.626E+02 2.678E+02 2.627E+02 
4.341E-03 5.163E+00 3.063E-02 7.830E+02 7.882E+02 7.830E+02 
4.475E-03 5.074E+00 3.146E-02 7.375E+02 7.426E+02 7.376E+02 
4.612E-03 4.984E+00 3.231E-02 6.947E+02 6.997E+02 6.947E+02 
4.612E-03 4.984E+00 3.231E-02 9.397E+02 9.447E+02 9.397E+02 
4.773E-03 4.878E+00 3.327E-02 8.677E+02 8.726E+02 8.678E+02 
4.939E-03 4.771E+00 3.425E-02 8.014E+02 8.062E+02 8.014E+02 
4.939E-03 4.771E+00 3.425E-02 9.246E+02 9.294E+02 9.246E+02 
5.000E-03 4.734E+00 3.461E-02 8.967E+02 9.015E+02 8.967E+02 
6.000E-03 4.170E+00 4.011E-02 5.678E+02 5.720E+02 5.678E+02 
8.000E-03 3.290E+00 4.984E-02 2.668E+02 2.702E+02 2.669E+02 
1.000E-02 2.671E+00 5.824E-02 1.474E+02 1.501E+02 1.474E+02 
1.500E-02 1.760E+00 7.419E-02 4.894E+01 5.078E+01 4.902E+01 
2.000E-02 1.248E+00 8.462E-02 2.208E+01 2.341E+01 2.216E+01 
3.000E-02 7.070E-01 9.699E-02 7.075E+00 7.879E+00 7.172E+00 
3.181E-02 6.489E-01 9.845E-02 5.989E+00 6.736E+00 6.088E+00 
3.181E-02 6.489E-01 9.845E-02 3.645E+01 3.720E+01 3.655E+01 
4.000E-02 4.610E-01 1.035E-01 2.008E+01 2.065E+01 2.019E+01 
5.000E-02 3.273E-01 1.070E-01 1.102E+01 1.145E+01 1.112E+01 
6.000E-02 2.440E-01 1.087E-01 6.688E+00 7.040E+00 6.796E+00 
8.000E-02 1.498E-01 1.091E-01 2.996E+00 3.255E+00 3.105E+00 
1.000E-01 1.015E-01 1.075E-01 1.592E+00 1.801E+00 1.699E+00 
1.500E-01 4.932E-02 1.012E-01 4.989E-01 6.494E-01 6.001E-01 
2.000E-01 2.916E-02 9.486E-02 2.188E-01 3.429E-01 3.137E-01 
3.000E-01 1.359E-02 8.424E-02 7.004E-02 1.679E-01 1.543E-01 
4.000E-01 7.825E-03 7.627E-02 3.224E-02 1.163E-01 1.085E-01 
5.000E-01 5.074E-03 7.004E-02 1.817E-02 9.328E-02 8.820E-02 
6.000E-01 3.556E-03 6.504E-02 1.163E-02 8.022E-02 7.666E-02 
8.000E-01 2.021E-03 5.734E-02 6.017E-03 6.538E-02 6.336E-02 
1.000E+00 1.300E-03 5.163E-02 3.759E-03 5.669E-02 5.539E-02 
1.022E+00 1.245E-03 5.111E-02 3.577E-03 5.594E-02 5.469E-02 
1.250E+00 8.354E-04 4.623E-02 2.413E-03 4.966E-02 4.882E-02 
1.500E+00 5.810E-04 4.205E-02 1.727E-03 4.518E-02 4.460E-02 
2.000E+00 3.276E-04 3.592E-02 1.052E-03 4.009E-02 3.976E-02 
2.044E+00 3.137E-04 3.548E-02 1.014E-03 3.979E-02 3.947E-02 
3.000E+00 1.458E-04 2.827E-02 5.578E-04 3.606E-02 3.591E-02 
4.000E+00 8.207E-05 2.359E-02 3.697E-04 3.494E-02 3.486E-02 
5.000E+00 5.258E-05 2.038E-02 2.735E-04 3.492E-02 3.486E-02 
6.000E+00 3.650E-05 1.801E-02 2.159E-04 3.534E-02 3.530E-02 
7.000E+00 2.682E-05 1.619E-02 1.778E-04 3.602E-02 3.599E-02 
8.000E+00 2.053E-05 1.474E-02 1.509E-04 3.683E-02 3.681E-02 
9.000E+00 1.623E-05 1.355E-02 1.309E-04 3.770E-02 3.769E-02 
1.000E+01 1.314E-05 1.255E-02 1.155E-04 3.860E-02 3.859E-02 
1.100E+01 1.086E-05 1.171E-02 1.033E-04 3.951E-02 3.950E-02 
1.200E+01 9.128E-06 1.098E-02 9.340E-05 4.040E-02 4.039E-02 
1.300E+01 7.778E-06 1.035E-02 8.519E-05 4.127E-02 4.127E-02 
1.400E+01 6.706E-06 9.788E-03 7.834E-05 4.211E-02 4.210E-02 
1.500E+01 5.843E-06 9.293E-03 7.244E-05 4.290E-02 4.290E-02 
1.600E+01 5.135E-06 8.849E-03 6.740E-05 4.366E-02 4.365E-02 
1.800E+01 4.056E-06 8.085E-03 5.914E-05 4.508E-02 4.508E-02 
2.000E+01 3.286E-06 7.457E-03 5.267E-05 4.642E-02 4.642E-02 
2.200E+01 2.716E-06 6.928E-03 4.748E-05 4.767E-02 4.767E-02 
2.400E+01 2.282E-06 6.470E-03 4.318E-05 4.883E-02 4.883E-02 
2.600E+01 1.944E-06 6.079E-03 3.962E-05 4.992E-02 4.992E-02 
2.800E+01 1.676E-06 5.734E-03 3.659E-05 5.093E-02 5.093E-02 
3.000E+01 1.461E-06 5.427E-03 3.399E-05 5.187E-02 5.187E-02 
4.000E+01 8.217E-07 4.314E-03 2.507E-05 5.585E-02 5.585E-02 
5.000E+01 5.258E-07 3.601E-03 1.986E-05 5.891E-02 5.891E-02 
6.000E+01 3.651E-07 3.103E-03 1.644E-05 6.131E-02 6.131E-02 
8.000E+01 2.053E-07 2.447E-03 1.223E-05 6.501E-02 6.501E-02 
